Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-16,0.375,Oil&Gas Services,Energy,Oil-Field Services,2009:Q4
2010-04-28,0.4,Oil&Gas Services,Energy,Oil-Field Services,2010:Q1
2010-07-26,0.39,Oil&Gas Services,Energy,Oil-Field Services,2010:Q2
2010-10-27,0.33,Oil&Gas Services,Energy,Oil-Field Services,2010:Q3
2011-02-14,0.345,Oil&Gas Services,Energy,Oil-Field Services,2010:Q4
2011-04-26,0.35,Oil&Gas Services,Energy,Oil-Field Services,2011:Q1
2011-07-25,0.39,Oil&Gas Services,Energy,Oil-Field Services,2011:Q2
2011-10-25,0.5,Oil&Gas Services,Energy,Oil-Field Services,2011:Q3
2012-02-14,0.3963,Oil&Gas Services,Energy,Oil-Field Services,2011:Q4
2012-04-24,0.41,Oil&Gas Services,Energy,Oil-Field Services,2012:Q1
2012-07-24,0.407,Oil&Gas Services,Energy,Oil-Field Services,2012:Q2
2012-10-23,0.4103,Oil&Gas Services,Energy,Oil-Field Services,2012:Q3
2013-02-12,0.5022,Oil&Gas Services,Energy,Oil-Field Services,2012:Q4
2013-04-23,0.43,Oil&Gas Services,Energy,Oil-Field Services,2013:Q1
2013-07-23,0.44,Oil&Gas Services,Energy,Oil-Field Services,2013:Q2
2013-10-22,0.49,Oil&Gas Services,Energy,Oil-Field Services,2013:Q3
2014-02-06,0.7571,Oil&Gas Services,Energy,Oil-Field Services,2013:Q4
2014-04-22,0.57,Oil&Gas Services,Energy,Oil-Field Services,2014:Q1
2014-07-22,0.7154,Oil&Gas Services,Energy,Oil-Field Services,2014:Q2
2014-10-21,0.7218,Oil&Gas Services,Energy,Oil-Field Services,2014:Q3
2015-02-10,0.72,Oil&Gas Services,Energy,Oil-Field Services,2014:Q4
2015-04-21,0.6642,Oil&Gas Services,Energy,Oil-Field Services,2015:Q1
2015-07-21,0.4871,Oil&Gas Services,Energy,Oil-Field Services,2015:Q2
2015-10-20,0.6011,Oil&Gas Services,Energy,Oil-Field Services,2015:Q3
2016-02-16,0.4621,Oil&Gas Services,Energy,Oil-Field Services,2015:Q4
2016-04-26,1.1725,Oil&Gas Services,Energy,Oil-Field Services,2016:Q1
2016-07-20,1.2533,Oil&Gas Services,Energy,Oil-Field Services,2016:Q2
2016-10-19,0.326,Oil&Gas Services,Energy,Oil-Field Services,2016:Q3
