Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-04,0.92,Gas,Utilities,Gas-Distribution,2009:Q4
2010-04-27,1.73,Gas,Utilities,Gas-Distribution,2010:Q1
2010-07-29,0.17,Gas,Utilities,Gas-Distribution,2010:Q2
2010-11-02,0.29,Gas,Utilities,Gas-Distribution,2010:Q3
2011-02-09,0.8612,Gas,Utilities,Gas-Distribution,2010:Q4
2011-05-03,1.6285,Gas,Utilities,Gas-Distribution,2011:Q1
2011-08-03,0.3319,Gas,Utilities,Gas-Distribution,2011:Q2
2011-11-02,0.024,Gas,Utilities,Gas-Distribution,2011:Q3
2012-02-22,0.8791,Gas,Utilities,Gas-Distribution,2011:Q4
2012-05-01,1.1613,Gas,Utilities,Gas-Distribution,2012:Q1
2012-08-01,0.2971,Gas,Utilities,Gas-Distribution,2012:Q2
2012-11-01,0.0869,Gas,Utilities,Gas-Distribution,2012:Q3
2013-02-06,0.8663,Gas,Utilities,Gas-Distribution,2012:Q4
2013-04-30,1.31,Gas,Utilities,Gas-Distribution,2013:Q1
2013-07-31,0.3595,Gas,Utilities,Gas-Distribution,2013:Q2
2013-10-30,0.2,Gas,Utilities,Gas-Distribution,2013:Q3
2014-02-04,0.68,Gas,Utilities,Gas-Distribution,2013:Q4
2014-04-29,2.81,Gas,Utilities,Gas-Distribution,2014:Q1
2014-07-29,0.48,Gas,Utilities,Gas-Distribution,2014:Q2
2014-11-07,0.1737,Gas,Utilities,Gas-Distribution,2014:Q3
2015-02-11,1.2454,Gas,Utilities,Gas-Distribution,2014:Q4
2015-04-28,1.62,Gas,Utilities,Gas-Distribution,2015:Q1
2015-07-28,0.35,Gas,Utilities,Gas-Distribution,2015:Q2
2015-11-09,0.34,Gas,Utilities,Gas-Distribution,2015:Q3
2016-02-11,0.9316,Gas,Utilities,Gas-Distribution,2015:Q4
2016-05-04,1.5266,Gas,Utilities,Gas-Distribution,2016:Q1
2016-11-04,-2.4245362661989844e-14,Gas,Utilities,Gas-Distribution,2016:Q3
