Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-26,0.496,Electronics,Industrial,Electronic Compo-Misc,2009:Q4
2010-04-28,0.4858,Electronics,Industrial,Electronic Compo-Misc,2010:Q1
2010-07-28,0.5819,Electronics,Industrial,Electronic Compo-Misc,2010:Q2
2010-11-01,0.5141,Electronics,Industrial,Electronic Compo-Misc,2010:Q3
2011-01-25,0.526,Electronics,Industrial,Electronic Compo-Misc,2010:Q4
2011-04-27,0.4719,Electronics,Industrial,Electronic Compo-Misc,2011:Q1
2011-07-27,0.4719,Electronics,Industrial,Electronic Compo-Misc,2011:Q2
2011-10-26,0.498,Electronics,Industrial,Electronic Compo-Misc,2011:Q3
2012-01-25,0.3153,Electronics,Industrial,Electronic Compo-Misc,2011:Q4
2012-04-25,0.3107,Electronics,Industrial,Electronic Compo-Misc,2012:Q1
2012-07-25,0.312,Electronics,Industrial,Electronic Compo-Misc,2012:Q2
2012-10-24,0.3608,Electronics,Industrial,Electronic Compo-Misc,2012:Q3
2013-01-29,0.2134,Electronics,Industrial,Electronic Compo-Misc,2012:Q4
2013-04-24,0.2922,Electronics,Industrial,Electronic Compo-Misc,2013:Q1
2013-07-30,0.3292,Electronics,Industrial,Electronic Compo-Misc,2013:Q2
2013-10-30,0.3436,Electronics,Industrial,Electronic Compo-Misc,2013:Q3
2014-01-28,0.2426,Electronics,Industrial,Electronic Compo-Misc,2013:Q4
2014-04-28,0.2723,Electronics,Industrial,Electronic Compo-Misc,2014:Q1
2014-07-29,0.3283,Electronics,Industrial,Electronic Compo-Misc,2014:Q2
2014-10-28,0.3472,Electronics,Industrial,Electronic Compo-Misc,2014:Q3
2015-01-27,0.3466,Electronics,Industrial,Electronic Compo-Misc,2014:Q4
2015-04-28,0.3049,Electronics,Industrial,Electronic Compo-Misc,2015:Q1
2015-07-28,0.2961,Electronics,Industrial,Electronic Compo-Misc,2015:Q2
2015-10-27,0.2454,Electronics,Industrial,Electronic Compo-Misc,2015:Q3
2016-01-26,0.2782,Electronics,Industrial,Electronic Compo-Misc,2015:Q4
2016-04-26,0.2484,Electronics,Industrial,Electronic Compo-Misc,2016:Q1
2016-07-27,0.3164,Electronics,Industrial,Electronic Compo-Misc,2016:Q2
2016-10-25,0.3984,Electronics,Industrial,Electronic Compo-Misc,2016:Q3
