Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-07,0.355,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2010:Q2
2010-03-31,0.29,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2010:Q3
2010-07-27,0.29,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2010:Q4
2010-10-11,0.3176,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2011:Q1
2011-01-06,0.3509,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2011:Q2
2011-03-31,0.3174,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2011:Q3
2011-07-21,0.3782,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2011:Q4
2011-10-04,0.395,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2012:Q1
2012-01-05,0.39,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2012:Q2
2012-04-02,0.365,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2012:Q3
2012-07-26,0.4345,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2012:Q4
2012-09-27,0.3948,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2013:Q1
2013-01-08,0.3851,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2013:Q2
2013-04-02,0.3689,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2013:Q3
2013-07-25,0.43,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2013:Q4
2013-10-01,0.4437,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2014:Q1
2014-01-08,0.4839,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2014:Q2
2014-04-03,0.4015,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2014:Q3
2014-07-29,0.3477,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2014:Q4
2014-10-02,0.5329,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2015:Q1
2015-01-08,0.55,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2015:Q2
2015-04-08,0.4802,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2015:Q3
2015-07-28,0.5376,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2015:Q4
2015-10-07,0.6475,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2016:Q1
2016-01-11,0.6183,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2016:Q2
2016-04-06,0.5626,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2016:Q3
2016-07-28,0.4398,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,2016:Q4
