Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-25,0.51,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2010:Q4
2010-05-20,0.45,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q1
2010-08-19,0.36,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q2
2010-11-18,0.48,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q3
2011-02-24,0.6,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q4
2011-05-19,0.4,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q1
2011-08-18,0.35,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q2
2011-11-17,0.38,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q3
2012-02-23,0.4611,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q4
2012-05-17,0.47,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q1
2012-08-16,0.49,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q2
2012-11-15,0.63,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q3
2013-02-28,0.7409,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q4
2013-05-23,0.71,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q1
2013-08-22,0.64,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q2
2013-11-21,0.72,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q3
2014-02-27,0.6814,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q4
2014-05-22,0.58,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q1
2014-08-21,0.7,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q2
2014-11-20,0.8,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q3
2015-02-26,0.7652,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q4
2015-05-21,0.56,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q1
2015-08-20,0.632,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q2
2015-11-19,0.6275,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q3
2016-02-25,0.5769,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q4
2016-05-19,0.32,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q1
2016-08-18,0.5932,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q2
2016-11-17,0.595,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q3
