Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-24,1.3708,Electronics,Industrial,Electronic Compo-Misc,2009:Q4
2010-05-05,-2.4442,Electronics,Industrial,Electronic Compo-Misc,2010:Q1
2010-08-04,0.6685,Electronics,Industrial,Electronic Compo-Misc,2010:Q2
2010-11-03,0.8467,Electronics,Industrial,Electronic Compo-Misc,2010:Q3
2011-02-23,0.6834,Electronics,Industrial,Electronic Compo-Misc,2010:Q4
2011-05-04,0.485,Electronics,Industrial,Electronic Compo-Misc,2011:Q1
2011-08-03,0.5521,Electronics,Industrial,Electronic Compo-Misc,2011:Q2
2011-11-02,0.7581,Electronics,Industrial,Electronic Compo-Misc,2011:Q3
2012-02-22,0.85,Electronics,Industrial,Electronic Compo-Misc,2011:Q4
2012-05-02,0.4379,Electronics,Industrial,Electronic Compo-Misc,2012:Q1
2012-08-01,0.9473,Electronics,Industrial,Electronic Compo-Misc,2012:Q2
2012-10-31,0.7194,Electronics,Industrial,Electronic Compo-Misc,2012:Q3
2013-02-20,0.66,Electronics,Industrial,Electronic Compo-Misc,2012:Q4
2013-05-01,0.3658,Electronics,Industrial,Electronic Compo-Misc,2013:Q1
2013-07-31,0.88,Electronics,Industrial,Electronic Compo-Misc,2013:Q2
2013-10-30,0.6937,Electronics,Industrial,Electronic Compo-Misc,2013:Q3
2014-02-19,0.83,Electronics,Industrial,Electronic Compo-Misc,2013:Q4
2014-04-30,0.61,Electronics,Industrial,Electronic Compo-Misc,2014:Q1
2014-07-30,0.93,Electronics,Industrial,Electronic Compo-Misc,2014:Q2
2014-10-29,0.7095,Electronics,Industrial,Electronic Compo-Misc,2014:Q3
2015-02-18,0.8376,Electronics,Industrial,Electronic Compo-Misc,2014:Q4
2015-04-29,0.3182,Electronics,Industrial,Electronic Compo-Misc,2015:Q1
2015-07-29,0.7116,Electronics,Industrial,Electronic Compo-Misc,2015:Q2
2015-10-28,0.6257,Electronics,Industrial,Electronic Compo-Misc,2015:Q3
2016-02-17,0.6988,Electronics,Industrial,Electronic Compo-Misc,2015:Q4
2016-04-27,0.4401,Electronics,Industrial,Electronic Compo-Misc,2016:Q1
2016-07-27,0.8452,Electronics,Industrial,Electronic Compo-Misc,2016:Q2
2016-10-26,0.6525,Electronics,Industrial,Electronic Compo-Misc,2016:Q3
