Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-08,1.0857,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2009:Q4
2010-04-19,0.2583,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2010:Q1
2010-07-19,0.2896,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2010:Q2
2010-10-18,1.0881,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2010:Q3
2011-02-07,0.9653,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2010:Q4
2011-04-14,0.1193,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2011:Q1
2011-07-18,0.3311,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2011:Q2
2011-10-17,1.2788,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2011:Q3
2012-02-06,1.0596,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2011:Q4
2012-04-23,0.0337,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2012:Q1
2012-07-23,0.3316,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2012:Q2
2012-10-22,1.2347,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2012:Q3
2013-02-07,1.1968,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2012:Q4
2013-04-22,0.0499,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2013:Q1
2013-07-22,0.2949,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2013:Q2
2013-10-21,1.1777,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2013:Q3
2014-02-10,1.1215,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2013:Q4
2014-04-21,0.1315,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2014:Q1
2014-07-21,0.3727,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2014:Q2
2014-10-20,1.4573,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2014:Q3
2015-02-09,1.2222,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2014:Q4
2015-04-20,0.2037,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2015:Q1
2015-07-20,0.3205,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2015:Q2
2015-10-19,1.5845,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2015:Q3
2016-02-08,1.3913,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2015:Q4
2016-04-18,0.3532,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2016:Q1
2016-07-18,0.4124,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2016:Q2
2016-10-17,2.03,Toys/Games/Hobbies,"Consumer, Cyclical",Toys,2016:Q3
