Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,1.3232,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2009:Q4
2010-04-28,1.4388,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q1
2010-07-28,1.1202,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q2
2010-10-27,1.3784,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q3
2011-01-26,0.2295,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q4
2011-04-27,1.5386,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q1
2011-07-27,1.9404,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q2
2011-10-26,1.5339,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q3
2012-01-25,1.1444,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q4
2012-04-25,1.4145,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q1
2012-07-25,1.7725,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q2
2012-11-02,0.9925,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q3
2013-01-30,1.0535,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q4
2013-04-24,1.7184,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q1
2013-07-31,0.9459,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q2
2013-10-30,1.0606,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q3
2014-01-29,4.9363,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q4
2014-04-30,1.3346,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q1
2014-07-30,0.7218,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q2
2014-10-29,0.8287,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q3
2015-01-28,0.1628,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q4
2015-04-29,-0.9982,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q1
2015-07-29,-0.5171,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q2
2015-10-28,-1.0282,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q3
2016-01-27,-1.4583,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q4
2016-04-27,-1.72,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q1
2016-07-27,-1.108,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q2
2016-10-26,-1.1239,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q3
