Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.5935,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q1
2010-04-29,0.6744,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q2
2010-07-29,0.596,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q3
2010-11-18,0.7747,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q4
2011-01-27,0.9442,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q1
2011-04-28,0.8861,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q2
2011-07-29,1.0043,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q3
2011-11-17,1.0879,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q4
2012-01-31,1.2924,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q1
2012-04-26,1.1351,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q2
2012-07-27,1.3689,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q3
2012-11-15,1.362,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q4
2013-01-31,1.3971,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q1
2013-04-25,1.3585,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q2
2013-07-26,1.439,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q3
2013-11-14,1.4441,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q4
2014-01-30,1.5559,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q1
2014-04-24,1.447,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q2
2014-07-31,1.6008,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q3
2014-11-13,1.4843,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q4
2015-01-29,1.6061,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q1
2015-04-23,0.9534,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q2
2015-07-30,0.22,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q3
2015-11-12,-0.0409,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q4
2016-01-28,-0.0058,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q1
2016-05-02,-0.2773,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q2
2016-07-28,-0.4736,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q3
2016-11-17,-0.196,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q4
