Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-17,0.978,Computers,Technology,Computers,2010:Q1
2010-05-18,1.02,Computers,Technology,Computers,2010:Q2
2010-08-19,0.9709,Computers,Technology,Computers,2010:Q3
2010-11-22,1.1922,Computers,Technology,Computers,2010:Q4
2011-02-22,1.25,Computers,Technology,Computers,2011:Q1
2011-05-17,1.0496,Computers,Technology,Computers,2011:Q2
2011-08-18,0.9728,Computers,Technology,Computers,2011:Q3
2011-11-21,1.2229,Computers,Technology,Computers,2011:Q4
2012-02-22,0.7514,Computers,Technology,Computers,2012:Q1
2012-05-23,0.8121,Computers,Technology,Computers,2012:Q2
2012-08-22,0.3574,Computers,Technology,Computers,2012:Q3
2012-11-20,0.7264,Computers,Technology,Computers,2012:Q4
2013-02-21,0.6828,Computers,Technology,Computers,2013:Q1
2013-05-22,0.7238,Computers,Technology,Computers,2013:Q2
2013-08-21,0.7383,Computers,Technology,Computers,2013:Q3
2013-11-26,0.8821,Computers,Technology,Computers,2013:Q4
2014-02-20,0.7879,Computers,Technology,Computers,2014:Q1
2014-05-22,0.7672,Computers,Technology,Computers,2014:Q2
2014-08-20,0.7984,Computers,Technology,Computers,2014:Q3
2014-11-25,0.9629,Computers,Technology,Computers,2014:Q4
2015-02-24,0.4234,Computers,Technology,Computers,2015:Q1
2015-05-21,0.3975,Computers,Technology,Computers,2015:Q2
2015-08-20,0.3884,Computers,Technology,Computers,2015:Q3
2015-11-24,0.3024,Computers,Technology,Computers,2015:Q4
2016-02-24,0.3703,Computers,Technology,Computers,2016:Q1
2016-05-25,0.4183,Computers,Technology,Computers,2016:Q2
2016-08-24,0.4868,Computers,Technology,Computers,2016:Q3
2016-11-22,0.1348,Computers,Technology,Computers,2016:Q4
