Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-02,0.6266,Food,"Consumer, Non-cyclical",Food-Confectionery,2009:Q4
2010-04-22,0.69,Food,"Consumer, Non-cyclical",Food-Confectionery,2010:Q1
2010-07-22,0.51,Food,"Consumer, Non-cyclical",Food-Confectionery,2010:Q2
2010-10-21,0.79,Food,"Consumer, Non-cyclical",Food-Confectionery,2010:Q3
2011-02-02,0.61,Food,"Consumer, Non-cyclical",Food-Confectionery,2010:Q4
2011-04-26,0.72,Food,"Consumer, Non-cyclical",Food-Confectionery,2011:Q1
2011-07-26,0.5557,Food,"Consumer, Non-cyclical",Food-Confectionery,2011:Q2
2011-10-27,0.8674,Food,"Consumer, Non-cyclical",Food-Confectionery,2011:Q3
2012-02-01,0.6804,Food,"Consumer, Non-cyclical",Food-Confectionery,2011:Q4
2012-04-24,0.9488,Food,"Consumer, Non-cyclical",Food-Confectionery,2012:Q1
2012-07-26,0.6629,Food,"Consumer, Non-cyclical",Food-Confectionery,2012:Q2
2012-10-25,0.8595,Food,"Consumer, Non-cyclical",Food-Confectionery,2012:Q3
2013-01-31,0.7395,Food,"Consumer, Non-cyclical",Food-Confectionery,2012:Q4
2013-04-25,1.0947,Food,"Consumer, Non-cyclical",Food-Confectionery,2013:Q1
2013-07-25,0.7137,Food,"Consumer, Non-cyclical",Food-Confectionery,2013:Q2
2013-10-24,1.0401,Food,"Consumer, Non-cyclical",Food-Confectionery,2013:Q3
2014-01-30,0.8471,Food,"Consumer, Non-cyclical",Food-Confectionery,2013:Q4
2014-04-24,1.1546,Food,"Consumer, Non-cyclical",Food-Confectionery,2014:Q1
2014-07-24,0.7575,Food,"Consumer, Non-cyclical",Food-Confectionery,2014:Q2
2014-10-29,1.041,Food,"Consumer, Non-cyclical",Food-Confectionery,2014:Q3
2015-01-29,1.0395,Food,"Consumer, Non-cyclical",Food-Confectionery,2014:Q4
2015-04-23,1.0943,Food,"Consumer, Non-cyclical",Food-Confectionery,2015:Q1
2015-08-07,0.7969,Food,"Consumer, Non-cyclical",Food-Confectionery,2015:Q2
2015-10-28,1.1689,Food,"Consumer, Non-cyclical",Food-Confectionery,2015:Q3
2016-01-28,1.0847,Food,"Consumer, Non-cyclical",Food-Confectionery,2015:Q4
2016-04-26,1.1017,Food,"Consumer, Non-cyclical",Food-Confectionery,2016:Q1
2016-07-28,0.8509,Food,"Consumer, Non-cyclical",Food-Confectionery,2016:Q2
2016-10-28,1.0057,Food,"Consumer, Non-cyclical",Food-Confectionery,2016:Q3
