Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-18,0.2721,Software,Technology,Applications Software,2010:Q2
2010-05-20,1.7981,Software,Technology,Applications Software,2010:Q3
2010-08-19,-0.15,Software,Technology,Applications Software,2010:Q4
2010-11-18,-0.2236,Software,Technology,Applications Software,2011:Q1
2011-02-17,0.23,Software,Technology,Applications Software,2011:Q2
2011-05-19,2.1979,Software,Technology,Applications Software,2011:Q3
2011-08-18,-0.1254,Software,Technology,Applications Software,2011:Q4
2011-11-17,-0.2172,Software,Technology,Applications Software,2012:Q1
2012-02-21,0.4,Software,Technology,Applications Software,2012:Q2
2012-05-17,2.4193,Software,Technology,Applications Software,2012:Q3
2012-08-21,-0.08,Software,Technology,Applications Software,2012:Q4
2012-11-15,-0.1846,Software,Technology,Applications Software,2013:Q1
2013-02-21,0.2057,Software,Technology,Applications Software,2013:Q2
2013-05-21,2.83,Software,Technology,Applications Software,2013:Q3
2013-08-20,-0.15,Software,Technology,Applications Software,2013:Q4
2013-11-21,-0.2045,Software,Technology,Applications Software,2014:Q1
2014-02-20,-0.128,Software,Technology,Applications Software,2014:Q2
2014-05-20,3.3922,Software,Technology,Applications Software,2014:Q3
2014-08-21,-0.1435,Software,Technology,Applications Software,2014:Q4
2014-11-20,0.3943,Software,Technology,Applications Software,2015:Q1
2015-02-19,-0.2083,Software,Technology,Applications Software,2015:Q2
2015-05-21,2.6603,Software,Technology,Applications Software,2015:Q3
2015-08-20,-0.2879,Software,Technology,Applications Software,2015:Q4
2015-11-19,-0.1113,Software,Technology,Applications Software,2016:Q1
2016-02-25,0.0666,Software,Technology,Applications Software,2016:Q2
2016-05-24,3.2668,Software,Technology,Applications Software,2016:Q3
2016-08-23,-0.1575,Software,Technology,Applications Software,2016:Q4
2016-11-17,-0.1918,Software,Technology,Applications Software,2017:Q1
