Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-03,0.238,Forest Products&Paper,Basic Materials,Paper&Related Products,2009:Q4
2010-04-29,0.0351,Forest Products&Paper,Basic Materials,Paper&Related Products,2010:Q1
2010-07-28,0.4147,Forest Products&Paper,Basic Materials,Paper&Related Products,2010:Q2
2010-10-27,0.8385,Forest Products&Paper,Basic Materials,Paper&Related Products,2010:Q3
2011-02-03,0.7775,Forest Products&Paper,Basic Materials,Paper&Related Products,2010:Q4
2011-04-28,0.7622,Forest Products&Paper,Basic Materials,Paper&Related Products,2011:Q1
2011-07-28,0.7748,Forest Products&Paper,Basic Materials,Paper&Related Products,2011:Q2
2011-10-27,0.8347,Forest Products&Paper,Basic Materials,Paper&Related Products,2011:Q3
2012-02-02,0.7039,Forest Products&Paper,Basic Materials,Paper&Related Products,2011:Q4
2012-04-27,0.534,Forest Products&Paper,Basic Materials,Paper&Related Products,2012:Q1
2012-07-26,0.4594,Forest Products&Paper,Basic Materials,Paper&Related Products,2012:Q2
2012-10-25,0.7556,Forest Products&Paper,Basic Materials,Paper&Related Products,2012:Q3
2013-01-29,0.6206,Forest Products&Paper,Basic Materials,Paper&Related Products,2012:Q4
2013-05-02,0.5402,Forest Products&Paper,Basic Materials,Paper&Related Products,2013:Q1
2013-07-25,0.5245,Forest Products&Paper,Basic Materials,Paper&Related Products,2013:Q2
2013-10-24,0.9749,Forest Products&Paper,Basic Materials,Paper&Related Products,2013:Q3
2014-02-04,0.7059,Forest Products&Paper,Basic Materials,Paper&Related Products,2013:Q4
2014-04-30,0.5624,Forest Products&Paper,Basic Materials,Paper&Related Products,2014:Q1
2014-07-29,0.8814,Forest Products&Paper,Basic Materials,Paper&Related Products,2014:Q2
2014-11-04,0.916,Forest Products&Paper,Basic Materials,Paper&Related Products,2014:Q3
2015-01-28,0.4595,Forest Products&Paper,Basic Materials,Paper&Related Products,2014:Q4
2015-04-29,0.84,Forest Products&Paper,Basic Materials,Paper&Related Products,2015:Q1
2015-07-29,1.1302,Forest Products&Paper,Basic Materials,Paper&Related Products,2015:Q2
2015-10-28,0.8693,Forest Products&Paper,Basic Materials,Paper&Related Products,2015:Q3
2016-02-03,1.1607,Forest Products&Paper,Basic Materials,Paper&Related Products,2015:Q4
2016-04-27,0.733,Forest Products&Paper,Basic Materials,Paper&Related Products,2016:Q1
2016-07-28,0.8475,Forest Products&Paper,Basic Materials,Paper&Related Products,2016:Q2
2016-10-27,0.8511,Forest Products&Paper,Basic Materials,Paper&Related Products,2016:Q3
