Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-12,0.3545,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2009:Q4
2010-04-23,0.0791,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q1
2010-07-23,0.734,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q2
2010-10-22,0.8326,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q3
2011-02-09,0.6432,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q4
2011-04-21,0.3727,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q1
2011-07-21,0.6918,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q2
2011-10-20,0.8374,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q3
2012-02-08,0.7679,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q4
2012-04-20,0.3509,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q1
2012-07-20,1.1756,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q2
2012-10-19,1.0594,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q3
2013-02-01,0.5466,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q4
2013-04-23,0.2319,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q1
2013-07-19,0.9619,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q2
2013-10-18,1.1483,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q3
2014-02-11,0.7476,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q4
2014-04-23,0.3038,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q1
2014-07-22,1.1279,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q2
2014-10-22,1.0935,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q3
2015-01-30,0.8192,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q4
2015-04-23,0.3505,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q1
2015-07-28,1.1616,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q2
2015-10-27,1.2056,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q3
2016-02-09,0.9092,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q4
2016-04-26,0.5045,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q1
2016-07-27,1.3711,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q2
2016-10-26,1.404,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q3
