Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,0.7042,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2009:Q4
2010-04-20,0.7033,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q1
2010-07-20,0.79,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q2
2010-10-19,0.8158,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q3
2011-01-31,0.66,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q4
2011-04-26,0.8798,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q1
2011-07-26,0.96,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q2
2011-10-25,1.0,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q3
2012-01-31,0.9,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q4
2012-04-24,0.95,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q1
2012-07-24,1.09,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q2
2012-10-23,0.9235,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q3
2013-01-29,0.6253,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q4
2013-04-23,0.83,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q1
2013-07-23,0.92,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q2
2013-10-21,0.992,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q3
2014-01-28,0.92,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q4
2014-04-22,1.01,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q1
2014-07-29,1.21,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q2
2014-10-21,1.2849,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q3
2015-01-27,1.18,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q4
2015-04-21,1.21,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q1
2015-07-22,1.3,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q2
2015-10-21,1.3935,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q3
2016-01-27,1.23,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q4
2016-04-20,1.2882,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q1
2016-07-20,1.4582,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q2
2016-10-20,1.5091,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q3
