Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.6711,Building Materials,Industrial,Bldg Prod-Air&Heating,2010:Q1
2010-04-27,0.6022,Building Materials,Industrial,Bldg Prod-Air&Heating,2010:Q2
2010-07-29,0.7431,Building Materials,Industrial,Bldg Prod-Air&Heating,2010:Q3
2010-11-09,0.6905,Building Materials,Industrial,Bldg Prod-Air&Heating,2010:Q4
2011-01-27,0.7551,Building Materials,Industrial,Bldg Prod-Air&Heating,2011:Q1
2011-04-28,0.7692,Building Materials,Industrial,Bldg Prod-Air&Heating,2011:Q2
2011-07-28,0.8796,Building Materials,Industrial,Bldg Prod-Air&Heating,2011:Q3
2011-11-16,0.9847,Building Materials,Industrial,Bldg Prod-Air&Heating,2011:Q4
2012-01-31,0.2745,Building Materials,Industrial,Bldg Prod-Air&Heating,2012:Q1
2012-04-26,0.3189,Building Materials,Industrial,Bldg Prod-Air&Heating,2012:Q2
2012-07-31,0.5031,Building Materials,Industrial,Bldg Prod-Air&Heating,2012:Q3
2012-11-14,0.1701,Building Materials,Industrial,Bldg Prod-Air&Heating,2012:Q4
2013-01-29,0.4067,Building Materials,Industrial,Bldg Prod-Air&Heating,2013:Q1
2013-04-26,0.3449,Building Materials,Industrial,Bldg Prod-Air&Heating,2013:Q2
2013-07-26,0.4621,Building Materials,Industrial,Bldg Prod-Air&Heating,2013:Q3
2013-11-14,0.4882,Building Materials,Industrial,Bldg Prod-Air&Heating,2013:Q4
2014-01-31,0.4333,Building Materials,Industrial,Bldg Prod-Air&Heating,2014:Q1
2014-04-25,0.4941,Building Materials,Industrial,Bldg Prod-Air&Heating,2014:Q2
2014-07-25,0.5671,Building Materials,Industrial,Bldg Prod-Air&Heating,2014:Q3
2014-11-13,0.6096,Building Materials,Industrial,Bldg Prod-Air&Heating,2014:Q4
2015-01-30,0.5165,Building Materials,Industrial,Bldg Prod-Air&Heating,2015:Q1
2015-04-24,0.5729,Building Materials,Industrial,Bldg Prod-Air&Heating,2015:Q2
2015-07-31,0.6079,Building Materials,Industrial,Bldg Prod-Air&Heating,2015:Q3
2015-11-13,1.0904,Building Materials,Industrial,Bldg Prod-Air&Heating,2015:Q4
2016-01-29,0.5864,Building Materials,Industrial,Bldg Prod-Air&Heating,2016:Q1
2016-04-29,0.845,Building Materials,Industrial,Bldg Prod-Air&Heating,2016:Q2
2016-07-29,0.6211,Building Materials,Industrial,Bldg Prod-Air&Heating,2016:Q3
2016-11-08,1.1485,Building Materials,Industrial,Bldg Prod-Air&Heating,2016:Q4
