Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-03,0.7303,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2010:Q1
2010-06-03,1.1534,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2010:Q2
2010-09-01,1.1147,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2010:Q3
2010-12-15,1.4599,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2010:Q4
2011-03-02,0.9902,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2011:Q1
2011-06-02,1.5313,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2011:Q2
2011-08-31,1.5725,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2011:Q3
2011-12-14,1.8956,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2011:Q4
2012-02-29,1.4134,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2012:Q1
2012-05-31,2.0568,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2012:Q2
2012-08-29,1.8144,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2012:Q3
2012-12-12,2.0957,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2012:Q4
2013-02-27,1.3356,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2013:Q1
2013-05-30,1.7272,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2013:Q2
2013-08-28,1.6997,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2013:Q3
2013-12-11,1.1083,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2013:Q4
2014-03-06,0.4917,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2014:Q1
2014-06-05,0.7626,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2014:Q2
2014-09-04,0.8003,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2014:Q3
2014-12-17,1.2878,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2014:Q4
2015-03-05,0.3192,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2015:Q1
2015-06-04,0.6363,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2015:Q2
2015-09-03,0.5873,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2015:Q3
2015-12-16,-0.9936,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2015:Q4
2016-03-03,-0.2291,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2016:Q1
2016-06-02,-0.0006,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2016:Q2
2016-09-01,0.0461,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2016:Q3
2016-12-14,0.0141,Machinery-Constr&Mining,Industrial,Machinery-Constr&Mining,2016:Q4
