Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-22,1.1545,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2009:Q4
2010-04-22,1.149,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2010:Q1
2010-07-23,1.2,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2010:Q2
2010-10-26,1.14,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2010:Q3
2011-01-25,1.2277,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2010:Q4
2011-04-25,1.0867,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2011:Q1
2011-07-25,1.179,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2011:Q2
2011-10-24,1.257,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2011:Q3
2012-01-24,1.277,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2011:Q4
2012-04-20,1.2404,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2012:Q1
2012-07-26,1.3,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2012:Q2
2012-10-24,1.34,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2012:Q3
2013-01-25,1.3698,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2012:Q4
2013-04-19,1.4804,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2013:Q1
2013-07-22,1.4142,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2013:Q2
2013-10-22,1.4459,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2013:Q3
2014-01-24,1.2964,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2013:Q4
2014-04-21,1.3228,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2014:Q1
2014-07-22,1.3306,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2014:Q2
2014-10-21,1.498,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2014:Q3
2015-01-23,1.3539,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2014:Q4
2015-04-21,1.4059,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2015:Q1
2015-07-23,1.3989,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2015:Q2
2015-10-21,1.5056,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2015:Q3
2016-01-25,1.4148,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2015:Q4
2016-04-22,1.5275,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2016:Q1
2016-07-25,1.5324,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2016:Q2
2016-10-24,1.5228,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,2016:Q3
