Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-09,0.197,Food,"Consumer, Non-cyclical",Food-Retail,2010:Q4
2010-06-17,0.29,Food,"Consumer, Non-cyclical",Food-Retail,2011:Q1
2010-09-14,0.1936,Food,"Consumer, Non-cyclical",Food-Retail,2011:Q2
2010-12-02,0.1703,Food,"Consumer, Non-cyclical",Food-Retail,2011:Q3
2011-03-03,0.2316,Food,"Consumer, Non-cyclical",Food-Retail,2011:Q4
2011-06-16,0.3548,Food,"Consumer, Non-cyclical",Food-Retail,2012:Q1
2011-09-09,0.2327,Food,"Consumer, Non-cyclical",Food-Retail,2012:Q2
2011-12-01,0.1739,Food,"Consumer, Non-cyclical",Food-Retail,2012:Q3
2012-03-01,0.2552,Food,"Consumer, Non-cyclical",Food-Retail,2012:Q4
2012-06-14,0.3912,Food,"Consumer, Non-cyclical",Food-Retail,2013:Q1
2012-09-07,0.2592,Food,"Consumer, Non-cyclical",Food-Retail,2013:Q2
2012-11-29,0.3716,Food,"Consumer, Non-cyclical",Food-Retail,2013:Q3
2013-03-07,0.445,Food,"Consumer, Non-cyclical",Food-Retail,2013:Q4
2013-06-20,0.4719,Food,"Consumer, Non-cyclical",Food-Retail,2014:Q1
2013-09-12,0.3575,Food,"Consumer, Non-cyclical",Food-Retail,2014:Q2
2013-12-05,0.266,Food,"Consumer, Non-cyclical",Food-Retail,2014:Q3
2014-03-06,0.3952,Food,"Consumer, Non-cyclical",Food-Retail,2014:Q4
2014-06-19,0.5504,Food,"Consumer, Non-cyclical",Food-Retail,2015:Q1
2014-09-11,0.356,Food,"Consumer, Non-cyclical",Food-Retail,2015:Q2
2014-12-04,0.3477,Food,"Consumer, Non-cyclical",Food-Retail,2015:Q3
2015-03-05,0.52,Food,"Consumer, Non-cyclical",Food-Retail,2015:Q4
2015-06-18,0.6395,Food,"Consumer, Non-cyclical",Food-Retail,2016:Q1
2015-09-11,0.4427,Food,"Consumer, Non-cyclical",Food-Retail,2016:Q2
2015-12-03,0.4346,Food,"Consumer, Non-cyclical",Food-Retail,2016:Q3
2016-03-03,0.5786,Food,"Consumer, Non-cyclical",Food-Retail,2016:Q4
2016-06-16,0.71,Food,"Consumer, Non-cyclical",Food-Retail,2017:Q1
2016-09-09,0.4815,Food,"Consumer, Non-cyclical",Food-Retail,2017:Q2
2016-12-01,0.4134,Food,"Consumer, Non-cyclical",Food-Retail,2017:Q3
