Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-24,1.08,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2010:Q4
2010-05-19,0.2511,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q1
2010-08-18,0.4489,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q2
2010-11-17,0.18,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q3
2011-02-23,1.36,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q4
2011-05-18,0.3921,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q1
2011-08-17,0.73,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q2
2011-11-16,0.2558,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q3
2012-02-22,1.5882,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q4
2012-05-16,0.41,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q1
2012-08-15,0.49,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q2
2012-11-14,0.2575,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q3
2013-02-27,1.7549,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q4
2013-05-22,0.48,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q1
2013-08-21,0.61,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q2
2013-11-20,0.31,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q3
2014-02-26,1.65,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q4
2014-05-21,0.53,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q1
2014-08-20,0.63,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q2
2014-11-19,0.44,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q3
2015-02-25,1.89,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q4
2015-05-20,0.6092,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q1
2015-08-19,0.68,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q2
2015-11-18,0.55,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q3
2016-02-24,2.15,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q4
2016-05-18,0.5827,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q1
2016-08-17,0.7057,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q2
2016-11-16,0.42,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q3
