Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.2521,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2009:Q4
2010-04-21,0.3097,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2010:Q1
2010-07-22,0.3442,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2010:Q2
2010-10-21,0.3164,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2010:Q3
2011-02-01,0.1618,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2010:Q4
2011-04-28,0.3129,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2011:Q1
2011-07-28,0.3718,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2011:Q2
2011-10-27,0.31,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2011:Q3
2012-02-06,0.1813,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2011:Q4
2012-04-26,0.2991,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2012:Q1
2012-07-26,0.4074,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2012:Q2
2012-10-29,0.4553,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2012:Q3
2013-02-04,0.3178,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2012:Q4
2013-04-25,0.3309,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2013:Q1
2013-07-25,0.4426,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2013:Q2
2013-10-23,0.3908,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2013:Q3
2014-01-23,0.2801,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2013:Q4
2014-04-24,0.3823,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2014:Q1
2014-07-24,0.4827,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2014:Q2
2014-10-22,0.51,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2014:Q3
2015-01-29,0.41,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2014:Q4
2015-04-30,0.5366,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2015:Q1
2015-07-30,0.5327,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2015:Q2
2015-10-29,0.67,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2015:Q3
2016-02-01,0.64,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2015:Q4
2016-04-28,0.5785,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2016:Q1
2016-07-28,0.6295,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2016:Q2
2016-10-27,0.6705,Home Furnishings,"Consumer, Cyclical",Home Furnishings,2016:Q3
