Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,1.9815,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2009:Q4
2010-04-22,1.9128,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2010:Q1
2010-07-27,2.0187,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2010:Q2
2010-10-28,2.0962,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2010:Q3
2011-01-27,2.4449,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2010:Q4
2011-04-21,1.9715,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2011:Q1
2011-07-28,2.3206,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2011:Q2
2011-10-27,2.0172,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2011:Q3
2012-01-31,2.3954,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2011:Q4
2012-04-26,1.9054,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2012:Q1
2012-07-26,1.9404,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2012:Q2
2012-11-01,2.0986,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2012:Q3
2013-01-30,2.338,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2012:Q4
2013-04-25,2.1455,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2013:Q1
2013-07-25,1.9571,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2013:Q2
2013-10-29,2.2256,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2013:Q3
2014-01-30,2.1118,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2013:Q4
2014-05-01,1.9582,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2014:Q1
2014-07-31,1.5838,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2014:Q2
2014-10-30,1.8025,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2014:Q3
2015-01-29,2.3853,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2014:Q4
2015-04-30,1.2955,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2015:Q1
2015-07-30,1.3852,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2015:Q2
2015-10-29,2.0751,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2015:Q3
2016-01-28,2.2656,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2015:Q4
2016-04-27,2.08,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2016:Q1
2016-07-28,1.9546,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2016:Q2
2016-10-27,1.8155,Aerospace/Defense,Industrial,Aerospace/Defense-Equip,2016:Q3
