Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-21,0.28,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q3
2010-05-10,0.39,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q4
2010-07-26,0.3,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q1
2010-10-27,0.5,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q2
2011-01-26,0.41,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q3
2011-05-03,0.45,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q4
2011-07-28,0.4,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q1
2011-10-27,0.39,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q2
2012-01-27,0.2,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q3
2012-05-01,0.54,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q4
2012-07-27,-0.07,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q1
2012-10-26,0.6,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q2
2013-02-01,-3.45,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q3
2013-04-30,0.23,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q4
2013-07-25,0.38,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q1
2013-10-25,0.7,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q2
2014-01-31,0.67,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q3
2014-05-01,0.58,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q4
2014-07-31,0.61,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q1
2014-10-31,0.04,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q2
2015-01-30,0.67,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q3
2015-05-01,0.73,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q4
2015-07-31,0.84,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q1
2015-10-30,0.58,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q2
2016-01-22,-1.31,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q3
2016-04-29,-0.43,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q4
2016-07-27,0.31,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2017:Q1
2016-10-28,0.63,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2017:Q2
