Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-21,0.0997,Airlines,"Consumer, Cyclical",Airlines,2009:Q4
2010-04-22,0.0275,Airlines,"Consumer, Cyclical",Airlines,2010:Q1
2010-07-29,0.2894,Airlines,"Consumer, Cyclical",Airlines,2010:Q2
2010-10-21,0.2566,Airlines,"Consumer, Cyclical",Airlines,2010:Q3
2011-01-20,0.1539,Airlines,"Consumer, Cyclical",Airlines,2010:Q4
2011-04-21,0.0295,Airlines,"Consumer, Cyclical",Airlines,2011:Q1
2011-08-04,0.1442,Airlines,"Consumer, Cyclical",Airlines,2011:Q2
2011-10-20,0.1508,Airlines,"Consumer, Cyclical",Airlines,2011:Q3
2012-01-19,0.0849,Airlines,"Consumer, Cyclical",Airlines,2011:Q4
2012-04-19,-0.0233,Airlines,"Consumer, Cyclical",Airlines,2012:Q1
2012-07-19,0.3589,Airlines,"Consumer, Cyclical",Airlines,2012:Q2
2012-10-18,0.1295,Airlines,"Consumer, Cyclical",Airlines,2012:Q3
2013-01-24,0.0884,Airlines,"Consumer, Cyclical",Airlines,2012:Q4
2013-04-25,0.0717,Airlines,"Consumer, Cyclical",Airlines,2013:Q1
2013-07-25,0.3793,Airlines,"Consumer, Cyclical",Airlines,2013:Q2
2013-10-24,0.3428,Airlines,"Consumer, Cyclical",Airlines,2013:Q3
2014-01-23,0.3339,Airlines,"Consumer, Cyclical",Airlines,2013:Q4
2014-04-24,0.1805,Airlines,"Consumer, Cyclical",Airlines,2014:Q1
2014-07-24,0.6987,Airlines,"Consumer, Cyclical",Airlines,2014:Q2
2014-10-23,0.5567,Airlines,"Consumer, Cyclical",Airlines,2014:Q3
2015-01-22,0.592,Airlines,"Consumer, Cyclical",Airlines,2014:Q4
2015-04-23,0.6571,Airlines,"Consumer, Cyclical",Airlines,2015:Q1
2015-07-23,1.0233,Airlines,"Consumer, Cyclical",Airlines,2015:Q2
2015-10-22,0.9388,Airlines,"Consumer, Cyclical",Airlines,2015:Q3
2016-01-21,0.9038,Airlines,"Consumer, Cyclical",Airlines,2015:Q4
2016-04-21,0.8641,Airlines,"Consumer, Cyclical",Airlines,2016:Q1
2016-07-21,1.1814,Airlines,"Consumer, Cyclical",Airlines,2016:Q2
2016-10-26,0.9304,Airlines,"Consumer, Cyclical",Airlines,2016:Q3
