Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-10,-1.6457,Telecommunications,Communications,Telecom Services,2009:Q4
2010-05-06,-1.6754,Telecommunications,Communications,Telecom Services,2010:Q1
2010-07-27,-1.4919,Telecommunications,Communications,Telecom Services,2010:Q2
2010-10-28,-1.4941,Telecommunications,Communications,Telecom Services,2010:Q3
2011-02-02,-0.48,Telecommunications,Communications,Telecom Services,2010:Q4
2011-05-03,-1.7042,Telecommunications,Communications,Telecom Services,2011:Q1
2011-07-27,-1.3386,Telecommunications,Communications,Telecom Services,2011:Q2
2011-11-02,-1.3763,Telecommunications,Communications,Telecom Services,2011:Q3
2012-02-08,-0.6883,Telecommunications,Communications,Telecom Services,2011:Q4
2012-05-03,-0.4586,Telecommunications,Communications,Telecom Services,2012:Q1
2012-07-25,-0.278,Telecommunications,Communications,Telecom Services,2012:Q2
2012-10-24,-0.5994,Telecommunications,Communications,Telecom Services,2012:Q3
2013-02-12,-0.1812,Telecommunications,Communications,Telecom Services,2012:Q4
2013-04-25,-0.24,Telecommunications,Communications,Telecom Services,2013:Q1
2013-07-31,-0.0152,Telecommunications,Communications,Telecom Services,2013:Q2
2013-10-30,0.1168,Telecommunications,Communications,Telecom Services,2013:Q3
2014-02-05,0.2265,Telecommunications,Communications,Telecom Services,2013:Q4
2014-04-30,0.47,Telecommunications,Communications,Telecom Services,2014:Q1
2014-07-29,0.2208,Telecommunications,Communications,Telecom Services,2014:Q2
2014-11-05,0.3714,Telecommunications,Communications,Telecom Services,2014:Q3
2015-02-04,0.347,Telecommunications,Communications,Telecom Services,2014:Q4
2015-04-29,0.3593,Telecommunications,Communications,Telecom Services,2015:Q1
2015-07-29,0.429,Telecommunications,Communications,Telecom Services,2015:Q2
2015-10-28,0.5126,Telecommunications,Communications,Telecom Services,2015:Q3
2016-02-04,0.5354,Telecommunications,Communications,Telecom Services,2015:Q4
2016-04-28,0.36,Telecommunications,Communications,Telecom Services,2016:Q1
2016-07-27,0.5002,Telecommunications,Communications,Telecom Services,2016:Q2
2016-10-31,0.3707,Telecommunications,Communications,Telecom Services,2016:Q3
