Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.4821,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2009:Q4
2010-04-29,0.6433,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2010:Q1
2010-07-29,0.6335,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2010:Q2
2010-10-28,0.5772,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2010:Q3
2011-01-27,0.567,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2010:Q4
2011-04-28,0.7621,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2011:Q1
2011-07-28,0.7209,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2011:Q2
2011-10-27,0.7796,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2011:Q3
2012-01-26,0.5226,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2011:Q4
2012-04-26,0.8156,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2012:Q1
2012-07-26,0.8364,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2012:Q2
2012-10-25,0.7108,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2012:Q3
2013-01-31,0.7216,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2012:Q4
2013-04-25,0.9251,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2013:Q1
2013-07-25,0.8434,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2013:Q2
2013-10-24,0.9311,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2013:Q3
2014-01-31,0.7737,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2013:Q4
2014-04-24,1.0054,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2014:Q1
2014-07-22,0.8553,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2014:Q2
2014-10-23,0.8919,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2014:Q3
2015-01-29,0.7879,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2014:Q4
2015-04-23,1.0338,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2015:Q1
2015-07-23,0.8202,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2015:Q2
2015-10-22,0.8037,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2015:Q3
2016-01-28,0.7743,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2015:Q4
2016-04-28,0.8751,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2016:Q1
2016-07-28,0.88,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2016:Q2
2016-10-27,0.87,Pharmaceuticals,"Consumer, Non-cyclical",Vitamins&Nutrition Prod,2016:Q3
