Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-25,0.095,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2009:Q4
2010-05-06,0.0577,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2010:Q1
2010-08-05,0.1158,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2010:Q2
2010-11-04,0.1208,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2010:Q3
2011-02-24,0.0433,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2010:Q4
2011-05-05,0.0482,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2011:Q1
2011-08-04,0.0752,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2011:Q2
2011-11-03,0.0738,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2011:Q3
2012-02-23,0.0583,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2011:Q4
2012-05-09,0.1362,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2012:Q1
2012-08-08,0.1968,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2012:Q2
2012-11-07,0.1564,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2012:Q3
2013-02-27,0.1298,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2012:Q4
2013-05-08,0.1201,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2013:Q1
2013-08-08,0.2066,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2013:Q2
2013-11-07,0.1766,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2013:Q3
2014-02-27,0.1509,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2013:Q4
2014-05-08,0.1833,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2014:Q1
2014-08-07,0.2812,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2014:Q2
2014-11-06,0.2395,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2014:Q3
2015-02-26,0.2436,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2014:Q4
2015-05-07,0.2568,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2015:Q1
2015-08-06,0.2417,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2015:Q2
2015-11-05,0.2863,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2015:Q3
2016-02-25,0.2335,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2015:Q4
2016-04-29,0.2689,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2016:Q1
2016-08-04,0.3304,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2016:Q2
2016-11-03,0.3407,Beverages,"Consumer, Non-cyclical",Beverages-Non-alcoholic,2016:Q3
