Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-20,0.4645,Banks,Financial,Diversified Banking Inst,2009:Q4
2010-04-21,0.8199,Banks,Financial,Diversified Banking Inst,2010:Q1
2010-07-21,0.234,Banks,Financial,Diversified Banking Inst,2010:Q2
2010-10-20,0.3122,Banks,Financial,Diversified Banking Inst,2010:Q3
2011-01-20,0.8471,Banks,Financial,Diversified Banking Inst,2010:Q4
2011-04-21,0.2865,Banks,Financial,Diversified Banking Inst,2011:Q1
2011-07-21,-0.4651,Banks,Financial,Diversified Banking Inst,2011:Q2
2011-10-19,0.0101,Banks,Financial,Diversified Banking Inst,2011:Q3
2012-01-19,-0.4146,Banks,Financial,Diversified Banking Inst,2011:Q4
2012-04-19,0.7672,Banks,Financial,Diversified Banking Inst,2012:Q1
2012-07-19,0.1661,Banks,Financial,Diversified Banking Inst,2012:Q2
2012-10-18,0.3411,Banks,Financial,Diversified Banking Inst,2012:Q3
2013-01-18,0.4846,Banks,Financial,Diversified Banking Inst,2012:Q4
2013-04-18,0.6318,Banks,Financial,Diversified Banking Inst,2013:Q1
2013-07-18,0.3091,Banks,Financial,Diversified Banking Inst,2013:Q2
2013-10-18,0.5016,Banks,Financial,Diversified Banking Inst,2013:Q3
2014-01-17,0.5184,Banks,Financial,Diversified Banking Inst,2013:Q4
2014-04-17,0.7019,Banks,Financial,Diversified Banking Inst,2014:Q1
2014-07-17,0.5798,Banks,Financial,Diversified Banking Inst,2014:Q2
2014-10-17,0.6402,Banks,Financial,Diversified Banking Inst,2014:Q3
2015-01-20,-1.4451,Banks,Financial,Diversified Banking Inst,2014:Q4
2015-04-20,0.8519,Banks,Financial,Diversified Banking Inst,2015:Q1
2015-07-20,0.7893,Banks,Financial,Diversified Banking Inst,2015:Q2
2015-10-19,0.4441,Banks,Financial,Diversified Banking Inst,2015:Q3
2016-01-19,0.4329,Banks,Financial,Diversified Banking Inst,2015:Q4
2016-04-18,0.55,Banks,Financial,Diversified Banking Inst,2016:Q1
2016-07-20,0.75,Banks,Financial,Diversified Banking Inst,2016:Q2
2016-10-19,0.8,Banks,Financial,Diversified Banking Inst,2016:Q3
