Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.2672,Telecommunications,Communications,Wireless Equipment,2009:Q4
2010-04-29,0.2044,Telecommunications,Communications,Wireless Equipment,2010:Q1
2010-07-29,0.0325,Telecommunications,Communications,Wireless Equipment,2010:Q2
2010-10-28,-0.073,Telecommunications,Communications,Wireless Equipment,2010:Q3
2011-01-27,0.7642,Telecommunications,Communications,Wireless Equipment,2010:Q4
2011-04-28,1.0533,Telecommunications,Communications,Wireless Equipment,2011:Q1
2011-07-28,0.407,Telecommunications,Communications,Wireless Equipment,2011:Q2
2011-10-27,0.4668,Telecommunications,Communications,Wireless Equipment,2011:Q3
2012-01-25,0.7177,Telecommunications,Communications,Wireless Equipment,2011:Q4
2012-04-25,0.4882,Telecommunications,Communications,Wireless Equipment,2012:Q1
2012-07-25,0.6809,Telecommunications,Communications,Wireless Equipment,2012:Q2
2012-10-24,0.7219,Telecommunications,Communications,Wireless Equipment,2012:Q3
2013-01-23,1.1765,Telecommunications,Communications,Wireless Equipment,2012:Q4
2013-04-24,0.6523,Telecommunications,Communications,Wireless Equipment,2013:Q1
2013-07-24,0.8621,Telecommunications,Communications,Wireless Equipment,2013:Q2
2013-10-23,0.9702,Telecommunications,Communications,Wireless Equipment,2013:Q3
2014-01-22,1.1125,Telecommunications,Communications,Wireless Equipment,2013:Q4
2014-05-01,0.2847,Telecommunications,Communications,Wireless Equipment,2014:Q1
2014-08-05,0.4077,Telecommunications,Communications,Wireless Equipment,2014:Q2
2014-11-04,0.406,Telecommunications,Communications,Wireless Equipment,2014:Q3
2015-02-04,1.1644,Telecommunications,Communications,Wireless Equipment,2014:Q4
2015-05-06,0.3128,Telecommunications,Communications,Wireless Equipment,2015:Q1
2015-08-05,0.6026,Telecommunications,Communications,Wireless Equipment,2015:Q2
2015-11-04,0.7318,Telecommunications,Communications,Wireless Equipment,2015:Q3
2016-02-22,1.5454,Telecommunications,Communications,Wireless Equipment,2015:Q4
2016-05-05,0.3655,Telecommunications,Communications,Wireless Equipment,2016:Q1
2016-08-04,0.7836,Telecommunications,Communications,Wireless Equipment,2016:Q2
2016-11-03,1.1403,Telecommunications,Communications,Wireless Equipment,2016:Q3
