Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,0.9976,Oil&Gas,Energy,Oil Comp-Integrated,2009:Q4
2010-05-05,0.7936,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q1
2010-08-04,1.4136,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q2
2010-11-03,1.0401,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q3
2011-01-26,0.7878,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q4
2011-05-04,1.2502,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q1
2011-07-27,1.3214,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q2
2011-11-02,1.7898,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q3
2012-01-25,1.342,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q4
2012-05-02,1.4375,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q1
2012-08-01,1.4944,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q2
2012-10-31,1.2145,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q3
2013-01-30,1.315,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q4
2013-05-01,0.9596,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q1
2013-07-31,1.5389,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q2
2013-10-30,1.4235,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q3
2014-01-29,1.3952,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q4
2014-04-30,0.9299,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q1
2014-07-30,0.7901,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q2
2014-10-31,1.1862,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q3
2015-01-28,0.2835,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q4
2015-04-29,-0.9265,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q1
2015-07-29,-0.5367,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q2
2015-10-28,-0.4493,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q3
2016-01-27,-0.7372,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q4
2016-05-04,-0.6465,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q1
2016-07-27,-0.2507,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q2
2016-10-26,-0.1145,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q3
