Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,1.72,Oil&Gas,Energy,Oil&Gas Drilling,2009:Q4
2010-04-21,1.43,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q1
2010-07-19,0.85,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q2
2010-10-20,0.3734,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q3
2011-01-26,0.39,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q4
2011-04-20,0.1553,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q1
2011-07-20,0.17,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q2
2011-10-19,0.53,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q3
2012-01-25,0.5,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q4
2012-04-18,0.47,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q1
2012-07-18,0.5881,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q2
2012-10-17,0.45,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q3
2013-01-23,0.5052,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q4
2013-04-17,0.5817,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q1
2013-07-17,0.69,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q2
2013-10-16,0.4425,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q3
2014-01-22,0.56,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q4
2014-04-16,0.6,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q1
2014-07-30,0.9243,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q2
2014-10-29,0.57,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q3
2015-02-04,0.4745,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q4
2015-04-29,0.72,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q1
2015-07-29,0.64,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q2
2015-10-28,0.72,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q3
2016-02-03,0.5209,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q4
2016-04-27,0.3075,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q1
2016-07-27,1.2943,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q2
2016-11-03,-0.23,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q3
