Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-03,1.0112,Oil&Gas Services,Energy,Oil Field Mach&Equip,2009:Q4
2010-04-27,1.0116,Oil&Gas Services,Energy,Oil Field Mach&Equip,2010:Q1
2010-07-29,0.9343,Oil&Gas Services,Energy,Oil Field Mach&Equip,2010:Q2
2010-10-26,0.9848,Oil&Gas Services,Energy,Oil Field Mach&Equip,2010:Q3
2011-02-03,1.0515,Oil&Gas Services,Energy,Oil Field Mach&Equip,2010:Q4
2011-04-27,1.0061,Oil&Gas Services,Energy,Oil Field Mach&Equip,2011:Q1
2011-07-26,1.1422,Oil&Gas Services,Energy,Oil Field Mach&Equip,2011:Q2
2011-10-25,1.2668,Oil&Gas Services,Energy,Oil Field Mach&Equip,2011:Q3
2012-02-02,1.3974,Oil&Gas Services,Energy,Oil Field Mach&Equip,2011:Q4
2012-04-25,1.4063,Oil&Gas Services,Energy,Oil Field Mach&Equip,2012:Q1
2012-07-26,1.4672,Oil&Gas Services,Energy,Oil Field Mach&Equip,2012:Q2
2012-10-25,1.5244,Oil&Gas Services,Energy,Oil Field Mach&Equip,2012:Q3
2013-02-01,1.6207,Oil&Gas Services,Energy,Oil Field Mach&Equip,2012:Q4
2013-04-26,1.2687,Oil&Gas Services,Energy,Oil Field Mach&Equip,2013:Q1
2013-07-30,1.2401,Oil&Gas Services,Energy,Oil Field Mach&Equip,2013:Q2
2013-10-25,1.2588,Oil&Gas Services,Energy,Oil Field Mach&Equip,2013:Q3
2014-01-31,1.49,Oil&Gas Services,Energy,Oil Field Mach&Equip,2013:Q4
2014-04-28,1.29,Oil&Gas Services,Energy,Oil Field Mach&Equip,2014:Q1
2014-07-29,1.4628,Oil&Gas Services,Energy,Oil Field Mach&Equip,2014:Q2
2014-10-30,1.6215,Oil&Gas Services,Energy,Oil Field Mach&Equip,2014:Q3
2015-02-03,1.5495,Oil&Gas Services,Energy,Oil Field Mach&Equip,2014:Q4
2015-04-28,1.14,Oil&Gas Services,Energy,Oil Field Mach&Equip,2015:Q1
2015-07-28,0.77,Oil&Gas Services,Energy,Oil Field Mach&Equip,2015:Q2
2015-10-28,0.5995,Oil&Gas Services,Energy,Oil Field Mach&Equip,2015:Q3
2016-02-03,0.2287,Oil&Gas Services,Energy,Oil Field Mach&Equip,2015:Q4
2016-04-28,-0.06,Oil&Gas Services,Energy,Oil Field Mach&Equip,2016:Q1
2016-07-28,-0.3,Oil&Gas Services,Energy,Oil Field Mach&Equip,2016:Q2
2016-10-26,-0.3459,Oil&Gas Services,Energy,Oil Field Mach&Equip,2016:Q3
