Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-17,0.2988,Computers,Technology,Computers-Memory Devices,2010:Q3
2010-05-26,0.3997,Computers,Technology,Computers-Memory Devices,2010:Q4
2010-08-18,0.3958,Computers,Technology,Computers-Memory Devices,2011:Q1
2010-11-17,0.4503,Computers,Technology,Computers-Memory Devices,2011:Q2
2011-02-16,0.4598,Computers,Technology,Computers-Memory Devices,2011:Q3
2011-05-25,0.4101,Computers,Technology,Computers-Memory Devices,2011:Q4
2011-08-17,0.3562,Computers,Technology,Computers-Memory Devices,2012:Q1
2011-11-16,0.4429,Computers,Technology,Computers-Memory Devices,2012:Q2
2012-02-15,0.3249,Computers,Technology,Computers-Memory Devices,2012:Q3
2012-05-23,0.4731,Computers,Technology,Computers-Memory Devices,2012:Q4
2012-08-15,0.17,Computers,Technology,Computers-Memory Devices,2013:Q1
2012-11-14,0.3,Computers,Technology,Computers-Memory Devices,2013:Q2
2013-02-13,0.4318,Computers,Technology,Computers-Memory Devices,2013:Q3
2013-05-21,0.47,Computers,Technology,Computers-Memory Devices,2013:Q4
2013-08-14,0.3174,Computers,Technology,Computers-Memory Devices,2014:Q1
2013-11-13,0.482,Computers,Technology,Computers-Memory Devices,2014:Q2
2014-02-12,0.55,Computers,Technology,Computers-Memory Devices,2014:Q3
2014-05-21,0.7,Computers,Technology,Computers-Memory Devices,2014:Q4
2014-08-13,0.27,Computers,Technology,Computers-Memory Devices,2015:Q1
2014-11-12,0.49,Computers,Technology,Computers-Memory Devices,2015:Q2
2015-02-11,0.56,Computers,Technology,Computers-Memory Devices,2015:Q3
2015-05-20,0.43,Computers,Technology,Computers-Memory Devices,2015:Q4
2015-08-19,0.0455,Computers,Technology,Computers-Memory Devices,2016:Q1
2015-11-18,0.4244,Computers,Technology,Computers-Memory Devices,2016:Q2
2016-02-17,0.5245,Computers,Technology,Computers-Memory Devices,2016:Q3
2016-05-25,0.2982,Computers,Technology,Computers-Memory Devices,2016:Q4
2016-08-17,0.23,Computers,Technology,Computers-Memory Devices,2017:Q1
2016-11-16,0.38,Computers,Technology,Computers-Memory Devices,2017:Q2
