Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-20,0.82,Banks,Financial,Fiduciary Banks,2009:Q4
2010-04-20,0.64,Banks,Financial,Fiduciary Banks,2010:Q1
2010-07-21,0.82,Banks,Financial,Fiduciary Banks,2010:Q2
2010-10-21,0.64,Banks,Financial,Fiduciary Banks,2010:Q3
2011-01-19,0.64,Banks,Financial,Fiduciary Banks,2010:Q4
2011-04-19,0.6236,Banks,Financial,Fiduciary Banks,2011:Q1
2011-07-20,0.6977,Banks,Financial,Fiduciary Banks,2011:Q2
2011-10-19,0.712,Banks,Financial,Fiduciary Banks,2011:Q3
2012-01-18,0.695,Banks,Financial,Fiduciary Banks,2011:Q4
2012-04-17,0.6707,Banks,Financial,Fiduciary Banks,2012:Q1
2012-07-18,0.7395,Banks,Financial,Fiduciary Banks,2012:Q2
2012-10-17,0.7378,Banks,Financial,Fiduciary Banks,2012:Q3
2013-01-16,0.7117,Banks,Financial,Fiduciary Banks,2012:Q4
2013-04-16,0.6749,Banks,Financial,Fiduciary Banks,2013:Q1
2013-07-17,0.78,Banks,Financial,Fiduciary Banks,2013:Q2
2013-10-16,0.7559,Banks,Financial,Fiduciary Banks,2013:Q3
2014-01-22,0.7497,Banks,Financial,Fiduciary Banks,2013:Q4
2014-04-15,0.75,Banks,Financial,Fiduciary Banks,2014:Q1
2014-07-16,0.8397,Banks,Financial,Fiduciary Banks,2014:Q2
2014-10-22,0.84,Banks,Financial,Fiduciary Banks,2014:Q3
2015-01-21,0.9398,Banks,Financial,Fiduciary Banks,2014:Q4
2015-04-21,0.94,Banks,Financial,Fiduciary Banks,2015:Q1
2015-07-22,1.0048,Banks,Financial,Fiduciary Banks,2015:Q2
2015-10-21,0.96,Banks,Financial,Fiduciary Banks,2015:Q3
2016-01-20,0.9663,Banks,Financial,Fiduciary Banks,2015:Q4
2016-04-19,1.03,Banks,Financial,Fiduciary Banks,2016:Q1
2016-07-20,1.3822,Banks,Financial,Fiduciary Banks,2016:Q2
2016-10-19,1.1119,Banks,Financial,Fiduciary Banks,2016:Q3
