Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-10,0.9415,Advertising,Communications,Advertising Agencies,2009:Q4
2010-04-20,0.52,Advertising,Communications,Advertising Agencies,2010:Q1
2010-07-20,0.79,Advertising,Communications,Advertising Agencies,2010:Q2
2010-10-19,0.5681,Advertising,Communications,Advertising Agencies,2010:Q3
2011-02-15,0.8036,Advertising,Communications,Advertising Agencies,2010:Q4
2011-04-19,0.7078,Advertising,Communications,Advertising Agencies,2011:Q1
2011-07-19,0.96,Advertising,Communications,Advertising Agencies,2011:Q2
2011-10-18,0.72,Advertising,Communications,Advertising Agencies,2011:Q3
2012-02-14,1.2105,Advertising,Communications,Advertising Agencies,2011:Q4
2012-04-17,0.72,Advertising,Communications,Advertising Agencies,2012:Q1
2012-07-17,1.02,Advertising,Communications,Advertising Agencies,2012:Q2
2012-10-16,0.74,Advertising,Communications,Advertising Agencies,2012:Q3
2013-02-12,1.2014,Advertising,Communications,Advertising Agencies,2012:Q4
2013-04-18,0.76,Advertising,Communications,Advertising Agencies,2013:Q1
2013-07-18,1.09,Advertising,Communications,Advertising Agencies,2013:Q2
2013-10-15,0.8235,Advertising,Communications,Advertising Agencies,2013:Q3
2014-02-11,1.181,Advertising,Communications,Advertising Agencies,2013:Q4
2014-04-22,0.796,Advertising,Communications,Advertising Agencies,2014:Q1
2014-07-22,1.2345,Advertising,Communications,Advertising Agencies,2014:Q2
2014-10-21,0.95,Advertising,Communications,Advertising Agencies,2014:Q3
2015-02-10,1.3,Advertising,Communications,Advertising Agencies,2014:Q4
2015-04-21,0.83,Advertising,Communications,Advertising Agencies,2015:Q1
2015-07-21,1.26,Advertising,Communications,Advertising Agencies,2015:Q2
2015-10-20,0.97,Advertising,Communications,Advertising Agencies,2015:Q3
2016-02-09,1.35,Advertising,Communications,Advertising Agencies,2015:Q4
2016-04-19,0.9,Advertising,Communications,Advertising Agencies,2016:Q1
2016-07-14,1.36,Advertising,Communications,Advertising Agencies,2016:Q2
2016-10-18,1.06,Advertising,Communications,Advertising Agencies,2016:Q3
