Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-24,0.3376,Software,Technology,Data Processing/Mgmt,2010:Q3
2010-06-23,0.3179,Software,Technology,Data Processing/Mgmt,2010:Q4
2010-09-27,0.3598,Software,Technology,Data Processing/Mgmt,2011:Q1
2010-12-20,0.3696,Software,Technology,Data Processing/Mgmt,2011:Q2
2011-03-23,0.3598,Software,Technology,Data Processing/Mgmt,2011:Q3
2011-06-22,0.3268,Software,Technology,Data Processing/Mgmt,2011:Q4
2011-09-27,0.4098,Software,Technology,Data Processing/Mgmt,2012:Q1
2011-12-20,0.3872,Software,Technology,Data Processing/Mgmt,2012:Q2
2012-03-28,0.3693,Software,Technology,Data Processing/Mgmt,2012:Q3
2012-06-27,0.3393,Software,Technology,Data Processing/Mgmt,2012:Q4
2012-09-24,0.4196,Software,Technology,Data Processing/Mgmt,2013:Q1
2012-12-19,0.4066,Software,Technology,Data Processing/Mgmt,2013:Q2
2013-03-27,0.3961,Software,Technology,Data Processing/Mgmt,2013:Q3
2013-06-26,0.34,Software,Technology,Data Processing/Mgmt,2013:Q4
2013-09-30,0.4396,Software,Technology,Data Processing/Mgmt,2014:Q1
2013-12-18,0.43,Software,Technology,Data Processing/Mgmt,2014:Q2
2014-03-26,0.4391,Software,Technology,Data Processing/Mgmt,2014:Q3
2014-07-01,0.3998,Software,Technology,Data Processing/Mgmt,2014:Q4
2014-09-24,0.4698,Software,Technology,Data Processing/Mgmt,2015:Q1
2014-12-19,0.4698,Software,Technology,Data Processing/Mgmt,2015:Q2
2015-03-25,0.46,Software,Technology,Data Processing/Mgmt,2015:Q3
2015-07-01,0.4398,Software,Technology,Data Processing/Mgmt,2015:Q4
2015-09-30,0.5188,Software,Technology,Data Processing/Mgmt,2016:Q1
2015-12-22,0.5194,Software,Technology,Data Processing/Mgmt,2016:Q2
2016-03-30,0.4998,Software,Technology,Data Processing/Mgmt,2016:Q3
2016-06-30,0.44,Software,Technology,Data Processing/Mgmt,2016:Q4
2016-09-28,0.5748,Software,Technology,Data Processing/Mgmt,2017:Q1
2016-12-21,0.56,Software,Technology,Data Processing/Mgmt,2017:Q2
