Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-21,0.0786,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2009:Q4
2010-04-15,0.0836,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2010:Q1
2010-07-15,0.0951,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2010:Q2
2010-10-21,0.0797,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2010:Q3
2011-01-20,0.1041,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2010:Q4
2011-04-20,0.1555,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2011:Q1
2011-07-21,0.1742,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2011:Q2
2011-10-20,0.1825,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2011:Q3
2012-01-19,0.1694,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2011:Q4
2012-04-19,0.1773,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2012:Q1
2012-07-19,0.2018,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2012:Q2
2012-10-18,0.1862,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2012:Q3
2013-01-17,0.19,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2012:Q4
2013-04-18,0.1836,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2013:Q1
2013-07-18,0.1981,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2013:Q2
2013-10-17,0.197,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2013:Q3
2014-01-16,0.1984,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2013:Q4
2014-04-16,0.1908,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2014:Q1
2014-07-17,0.2435,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2014:Q2
2014-10-16,0.211,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2014:Q3
2015-01-15,0.2179,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2014:Q4
2015-04-16,0.2105,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2015:Q1
2015-07-16,0.2065,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2015:Q2
2015-10-15,0.23,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2015:Q3
2016-01-21,0.218,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2015:Q4
2016-04-21,0.21,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2016:Q1
2016-07-21,0.23,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2016:Q2
2016-10-20,0.2469,Savings&Loans,Financial,S&L/Thrifts-Eastern US,2016:Q3
