Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-21,1.61,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2010:Q3
2010-05-06,1.66,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2010:Q4
2010-07-22,1.65,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2011:Q1
2010-10-21,1.7,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2011:Q2
2011-01-27,1.8,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2011:Q3
2011-05-12,1.87,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2011:Q4
2011-07-28,2.0255,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2012:Q1
2011-10-27,7.6583,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2012:Q2
2012-01-26,2.7568,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2012:Q3
2012-05-17,2.31,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2012:Q4
2012-07-26,2.35,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2013:Q1
2012-10-25,2.27,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2013:Q2
2013-01-24,2.31,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2013:Q3
2013-05-09,2.82,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2013:Q4
2013-07-25,2.88,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2014:Q1
2013-10-24,2.88,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2014:Q2
2014-01-23,2.94,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2014:Q3
2014-05-08,3.27,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2014:Q4
2014-07-24,3.32,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2015:Q1
2014-10-23,3.24,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2015:Q2
2015-01-22,3.09,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2015:Q3
2015-05-13,1.8938,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2015:Q4
2015-07-28,2.87,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,2016:Q1
