Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-18,0.6959,Electric,Utilities,Electric-Integrated,2009:Q4
2010-05-05,0.8887,Electric,Utilities,Electric-Integrated,2010:Q1
2010-07-30,0.5182,Electric,Utilities,Electric-Integrated,2010:Q2
2010-10-27,1.0523,Electric,Utilities,Electric-Integrated,2010:Q3
2011-02-22,0.6265,Electric,Utilities,Electric-Integrated,2010:Q4
2011-05-05,0.9072,Electric,Utilities,Electric-Integrated,2011:Q1
2011-08-03,0.6234,Electric,Utilities,Electric-Integrated,2011:Q2
2011-11-01,0.5173,Electric,Utilities,Electric-Integrated,2011:Q3
2012-02-23,0.5401,Electric,Utilities,Electric-Integrated,2011:Q4
2012-05-02,0.8739,Electric,Utilities,Electric-Integrated,2012:Q1
2012-07-31,0.44,Electric,Utilities,Electric-Integrated,2012:Q2
2012-11-01,0.8324,Electric,Utilities,Electric-Integrated,2012:Q3
2013-02-21,0.3998,Electric,Utilities,Electric-Integrated,2012:Q4
2013-04-30,0.8396,Electric,Utilities,Electric-Integrated,2013:Q1
2013-07-30,0.5027,Electric,Utilities,Electric-Integrated,2013:Q2
2013-10-30,0.76,Electric,Utilities,Electric-Integrated,2013:Q3
2014-02-20,0.4988,Electric,Utilities,Electric-Integrated,2013:Q4
2014-05-01,1.0166,Electric,Utilities,Electric-Integrated,2014:Q1
2014-07-30,0.4869,Electric,Utilities,Electric-Integrated,2014:Q2
2014-10-30,0.7823,Electric,Utilities,Electric-Integrated,2014:Q3
2015-02-20,0.4939,Electric,Utilities,Electric-Integrated,2014:Q4
2015-05-01,1.0437,Electric,Utilities,Electric-Integrated,2015:Q1
2015-07-31,0.5796,Electric,Utilities,Electric-Integrated,2015:Q2
2015-10-30,0.8277,Electric,Utilities,Electric-Integrated,2015:Q3
2016-02-19,0.5016,Electric,Utilities,Electric-Integrated,2015:Q4
2016-04-29,0.927,Electric,Utilities,Electric-Integrated,2016:Q1
2016-07-29,0.5816,Electric,Utilities,Electric-Integrated,2016:Q2
2016-10-31,0.8967,Electric,Utilities,Electric-Integrated,2016:Q3
