Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2012-05-16,-2.4245362661989844e-14,Oil&Gas,Energy,Oil Refining&Marketing,2012:Q1
2012-08-01,2.2316,Oil&Gas,Energy,Oil Refining&Marketing,2012:Q2
2012-10-31,2.9735,Oil&Gas,Energy,Oil Refining&Marketing,2012:Q3
2013-01-30,2.0361,Oil&Gas,Energy,Oil Refining&Marketing,2012:Q4
2013-05-01,2.1041,Oil&Gas,Energy,Oil Refining&Marketing,2013:Q1
2013-07-31,1.2354,Oil&Gas,Energy,Oil Refining&Marketing,2013:Q2
2013-10-30,1.0097,Oil&Gas,Energy,Oil Refining&Marketing,2013:Q3
2014-01-29,1.4002,Oil&Gas,Energy,Oil Refining&Marketing,2013:Q4
2014-04-30,1.3818,Oil&Gas,Energy,Oil Refining&Marketing,2014:Q1
2014-07-30,1.5874,Oil&Gas,Energy,Oil Refining&Marketing,2014:Q2
2014-10-29,1.7529,Oil&Gas,Energy,Oil Refining&Marketing,2014:Q3
2015-01-29,0.8475,Oil&Gas,Energy,Oil Refining&Marketing,2014:Q4
2015-04-30,1.4753,Oil&Gas,Energy,Oil Refining&Marketing,2015:Q1
2015-07-31,2.0728,Oil&Gas,Energy,Oil Refining&Marketing,2015:Q2
2015-10-30,2.5568,Oil&Gas,Energy,Oil Refining&Marketing,2015:Q3
2016-01-29,1.0202,Oil&Gas,Energy,Oil Refining&Marketing,2015:Q4
2016-04-29,0.8106,Oil&Gas,Energy,Oil Refining&Marketing,2016:Q1
2016-07-29,1.2341,Oil&Gas,Energy,Oil Refining&Marketing,2016:Q2
2016-10-28,0.9972,Oil&Gas,Energy,Oil Refining&Marketing,2016:Q3
