Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-22,0.6171,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2010:Q4
2010-05-24,2.867,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q1
2010-09-07,0.4355,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q2
2010-12-02,1.6244,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q3
2011-03-28,1.1373,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q4
2011-05-31,1.4329,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q1
2011-08-30,1.1102,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q2
2011-12-01,1.8961,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q3
2012-03-27,0.5321,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q4
2012-05-23,1.339,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q1
2012-08-27,1.2723,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q2
2012-11-27,2.4622,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q3
2013-03-27,1.4932,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q4
2013-06-12,1.9363,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q1
2013-09-09,1.5286,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q2
2013-12-09,2.7213,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q3
2014-03-25,-0.0717,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q4
2014-06-04,1.5711,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q1
2014-09-03,1.525,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q2
2014-12-03,2.8577,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q3
2015-03-25,2.1766,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q4
2015-06-01,1.5247,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q1
2015-08-26,1.5474,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q2
2015-12-02,2.8924,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q3
2016-03-23,1.7239,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q4
2016-05-25,1.5724,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q1
2016-08-24,1.4704,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q2
2016-11-30,2.303,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q3
