Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-22,0.1282,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2009:Q4
2010-05-05,0.1087,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2010:Q1
2010-08-04,0.1828,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2010:Q2
2010-11-03,0.3151,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2010:Q3
2011-02-23,0.1902,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2010:Q4
2011-05-04,-0.0822,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2011:Q1
2011-08-03,0.1479,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2011:Q2
2011-11-02,0.2515,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2011:Q3
2012-02-22,0.3385,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2011:Q4
2012-05-03,0.2191,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2012:Q1
2012-08-02,0.2704,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2012:Q2
2012-10-31,0.3701,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2012:Q3
2013-02-21,0.465,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2012:Q4
2013-05-02,0.3398,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2013:Q1
2013-08-01,0.3301,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2013:Q2
2013-10-31,0.4088,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2013:Q3
2014-02-20,0.4445,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2013:Q4
2014-05-01,0.3829,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2014:Q1
2014-07-31,0.3311,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2014:Q2
2014-11-05,0.5285,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2014:Q3
2015-02-19,0.4198,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2014:Q4
2015-04-30,0.2254,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2015:Q1
2015-08-05,0.1831,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2015:Q2
2015-11-05,0.2377,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2015:Q3
2016-02-25,0.2123,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2015:Q4
2016-05-05,0.1556,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2016:Q1
2016-08-04,0.1127,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2016:Q2
2016-11-03,0.47,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2016:Q3
