Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,1.117,Chemicals,Basic Materials,Industrial Gases,2009:Q4
2010-04-28,1.0936,Chemicals,Basic Materials,Industrial Gases,2010:Q1
2010-07-28,1.19,Chemicals,Basic Materials,Industrial Gases,2010:Q2
2010-10-27,1.21,Chemicals,Basic Materials,Industrial Gases,2010:Q3
2011-01-26,1.2757,Chemicals,Basic Materials,Industrial Gases,2010:Q4
2011-04-27,1.29,Chemicals,Basic Materials,Industrial Gases,2011:Q1
2011-07-27,1.38,Chemicals,Basic Materials,Industrial Gases,2011:Q2
2011-10-26,1.4,Chemicals,Basic Materials,Industrial Gases,2011:Q3
2012-01-25,1.3966,Chemicals,Basic Materials,Industrial Gases,2011:Q4
2012-04-25,1.3285,Chemicals,Basic Materials,Industrial Gases,2012:Q1
2012-07-25,1.42,Chemicals,Basic Materials,Industrial Gases,2012:Q2
2012-10-24,1.3737,Chemicals,Basic Materials,Industrial Gases,2012:Q3
2013-01-23,1.3107,Chemicals,Basic Materials,Industrial Gases,2012:Q4
2013-04-24,1.3767,Chemicals,Basic Materials,Industrial Gases,2013:Q1
2013-07-24,1.49,Chemicals,Basic Materials,Industrial Gases,2013:Q2
2013-10-30,1.49,Chemicals,Basic Materials,Industrial Gases,2013:Q3
2014-01-29,1.4245,Chemicals,Basic Materials,Industrial Gases,2013:Q4
2014-04-23,1.51,Chemicals,Basic Materials,Industrial Gases,2014:Q1
2014-07-23,1.58,Chemicals,Basic Materials,Industrial Gases,2014:Q2
2014-10-29,1.62,Chemicals,Basic Materials,Industrial Gases,2014:Q3
2015-01-28,1.5202,Chemicals,Basic Materials,Industrial Gases,2014:Q4
2015-04-29,1.43,Chemicals,Basic Materials,Industrial Gases,2015:Q1
2015-07-29,1.7732,Chemicals,Basic Materials,Industrial Gases,2015:Q2
2015-10-29,1.4627,Chemicals,Basic Materials,Industrial Gases,2015:Q3
2016-01-29,1.393,Chemicals,Basic Materials,Industrial Gases,2015:Q4
2016-04-29,1.2749,Chemicals,Basic Materials,Industrial Gases,2016:Q1
2016-07-28,1.39,Chemicals,Basic Materials,Industrial Gases,2016:Q2
2016-10-27,1.4055,Chemicals,Basic Materials,Industrial Gases,2016:Q3
