Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-03,0.4216,Transportation,Industrial,Transport-Services,2009:Q4
2010-04-21,0.1843,Transportation,Industrial,Transport-Services,2010:Q1
2010-07-23,0.4974,Transportation,Industrial,Transport-Services,2010:Q2
2010-10-21,0.6729,Transportation,Industrial,Transport-Services,2010:Q3
2011-02-03,0.4509,Transportation,Industrial,Transport-Services,2010:Q4
2011-04-26,0.3524,Transportation,Industrial,Transport-Services,2011:Q1
2011-07-27,0.7242,Transportation,Industrial,Transport-Services,2011:Q2
2011-10-25,0.8551,Transportation,Industrial,Transport-Services,2011:Q3
2012-02-02,0.9667,Transportation,Industrial,Transport-Services,2011:Q4
2012-04-24,0.309,Transportation,Industrial,Transport-Services,2012:Q1
2012-07-24,0.7053,Transportation,Industrial,Transport-Services,2012:Q2
2012-10-23,0.9855,Transportation,Industrial,Transport-Services,2012:Q3
2013-01-31,0.8988,Transportation,Industrial,Transport-Services,2012:Q4
2013-04-23,0.5025,Transportation,Industrial,Transport-Services,2013:Q1
2013-07-23,0.903,Transportation,Industrial,Transport-Services,2013:Q2
2013-10-22,1.109,Transportation,Industrial,Transport-Services,2013:Q3
2014-02-04,0.9162,Transportation,Industrial,Transport-Services,2013:Q4
2014-04-23,0.5176,Transportation,Industrial,Transport-Services,2014:Q1
2014-07-23,0.9832,Transportation,Industrial,Transport-Services,2014:Q2
2014-10-22,1.1749,Transportation,Industrial,Transport-Services,2014:Q3
2015-02-03,1.1685,Transportation,Industrial,Transport-Services,2014:Q4
2015-04-22,0.667,Transportation,Industrial,Transport-Services,2015:Q1
2015-07-23,1.2246,Transportation,Industrial,Transport-Services,2015:Q2
2015-10-22,1.3965,Transportation,Industrial,Transport-Services,2015:Q3
2016-02-02,1.3934,Transportation,Industrial,Transport-Services,2015:Q4
2016-04-26,0.8143,Transportation,Industrial,Transport-Services,2016:Q1
2016-07-27,1.0249,Transportation,Industrial,Transport-Services,2016:Q2
2016-10-25,1.5672,Transportation,Industrial,Transport-Services,2016:Q3
