Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-04,-2.4245362661989844e-14,Agriculture,"Consumer, Non-cyclical",Tobacco,2009:Q4
2010-04-22,0.3023,Agriculture,"Consumer, Non-cyclical",Tobacco,2010:Q1
2010-07-22,0.689,Agriculture,"Consumer, Non-cyclical",Tobacco,2010:Q2
2010-10-21,0.6989,Agriculture,"Consumer, Non-cyclical",Tobacco,2010:Q3
2011-02-03,0.6881,Agriculture,"Consumer, Non-cyclical",Tobacco,2010:Q4
2011-04-21,0.6364,Agriculture,"Consumer, Non-cyclical",Tobacco,2011:Q1
2011-07-22,0.7157,Agriculture,"Consumer, Non-cyclical",Tobacco,2011:Q2
2011-10-25,0.7208,Agriculture,"Consumer, Non-cyclical",Tobacco,2011:Q3
2012-02-08,0.6849,Agriculture,"Consumer, Non-cyclical",Tobacco,2011:Q4
2012-04-24,0.6298,Agriculture,"Consumer, Non-cyclical",Tobacco,2012:Q1
2012-07-24,0.7499,Agriculture,"Consumer, Non-cyclical",Tobacco,2012:Q2
2012-10-23,0.7397,Agriculture,"Consumer, Non-cyclical",Tobacco,2012:Q3
2013-02-12,0.7248,Agriculture,"Consumer, Non-cyclical",Tobacco,2012:Q4
2013-04-23,0.518,Agriculture,"Consumer, Non-cyclical",Tobacco,2013:Q1
2013-07-24,0.7299,Agriculture,"Consumer, Non-cyclical",Tobacco,2013:Q2
2013-10-22,0.7476,Agriculture,"Consumer, Non-cyclical",Tobacco,2013:Q3
2014-02-11,0.6832,Agriculture,"Consumer, Non-cyclical",Tobacco,2013:Q4
2014-04-23,0.6346,Agriculture,"Consumer, Non-cyclical",Tobacco,2014:Q1
2014-07-29,0.7203,Agriculture,"Consumer, Non-cyclical",Tobacco,2014:Q2
2014-10-21,0.7868,Agriculture,"Consumer, Non-cyclical",Tobacco,2014:Q3
2015-02-10,0.6648,Agriculture,"Consumer, Non-cyclical",Tobacco,2014:Q4
2015-04-17,0.6903,Agriculture,"Consumer, Non-cyclical",Tobacco,2015:Q1
2015-07-28,0.8318,Agriculture,"Consumer, Non-cyclical",Tobacco,2015:Q2
2015-10-27,0.8892,Agriculture,"Consumer, Non-cyclical",Tobacco,2015:Q3
2016-02-11,0.6811,Agriculture,"Consumer, Non-cyclical",Tobacco,2015:Q4
2016-04-26,0.5027,Agriculture,"Consumer, Non-cyclical",Tobacco,2016:Q1
2016-07-26,0.5801,Agriculture,"Consumer, Non-cyclical",Tobacco,2016:Q2
2016-10-19,0.6098,Agriculture,"Consumer, Non-cyclical",Tobacco,2016:Q3
