Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.02,Leisure Time,"Consumer, Cyclical",Cruise Lines,2009:Q4
2010-04-28,0.4,Leisure Time,"Consumer, Cyclical",Cruise Lines,2010:Q1
2010-07-22,0.25,Leisure Time,"Consumer, Cyclical",Cruise Lines,2010:Q2
2010-10-26,1.61,Leisure Time,"Consumer, Cyclical",Cruise Lines,2010:Q3
2011-01-27,0.15,Leisure Time,"Consumer, Cyclical",Cruise Lines,2010:Q4
2011-04-28,0.47,Leisure Time,"Consumer, Cyclical",Cruise Lines,2011:Q1
2011-07-27,0.43,Leisure Time,"Consumer, Cyclical",Cruise Lines,2011:Q2
2011-10-27,1.82,Leisure Time,"Consumer, Cyclical",Cruise Lines,2011:Q3
2012-02-02,0.17,Leisure Time,"Consumer, Cyclical",Cruise Lines,2011:Q4
2012-04-20,0.21,Leisure Time,"Consumer, Cyclical",Cruise Lines,2012:Q1
2012-07-26,-0.02,Leisure Time,"Consumer, Cyclical",Cruise Lines,2012:Q2
2012-10-25,1.6993,Leisure Time,"Consumer, Cyclical",Cruise Lines,2012:Q3
2013-02-04,0.096,Leisure Time,"Consumer, Cyclical",Cruise Lines,2012:Q4
2013-04-25,0.35,Leisure Time,"Consumer, Cyclical",Cruise Lines,2013:Q1
2013-07-25,0.16,Leisure Time,"Consumer, Cyclical",Cruise Lines,2013:Q2
2013-10-24,1.6984,Leisure Time,"Consumer, Cyclical",Cruise Lines,2013:Q3
2014-01-27,0.2233,Leisure Time,"Consumer, Cyclical",Cruise Lines,2013:Q4
2014-04-24,0.1274,Leisure Time,"Consumer, Cyclical",Cruise Lines,2014:Q1
2014-07-24,0.6192,Leisure Time,"Consumer, Cyclical",Cruise Lines,2014:Q2
2014-10-23,2.2691,Leisure Time,"Consumer, Cyclical",Cruise Lines,2014:Q3
2015-01-29,0.3498,Leisure Time,"Consumer, Cyclical",Cruise Lines,2014:Q4
2015-04-20,0.2,Leisure Time,"Consumer, Cyclical",Cruise Lines,2015:Q1
2015-07-31,0.84,Leisure Time,"Consumer, Cyclical",Cruise Lines,2015:Q2
2015-10-23,2.8356,Leisure Time,"Consumer, Cyclical",Cruise Lines,2015:Q3
2016-02-02,0.94,Leisure Time,"Consumer, Cyclical",Cruise Lines,2015:Q4
2016-04-29,0.4716,Leisure Time,"Consumer, Cyclical",Cruise Lines,2016:Q1
2016-08-02,1.0843,Leisure Time,"Consumer, Cyclical",Cruise Lines,2016:Q2
2016-10-28,3.1991,Leisure Time,"Consumer, Cyclical",Cruise Lines,2016:Q3
