Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-24,2.1693,Oil&Gas,Energy,Oil&Gas Drilling,2009:Q4
2010-05-05,2.1586,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q1
2010-08-04,1.68,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q2
2010-11-03,1.1892,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q3
2011-02-23,0.6245,Oil&Gas,Energy,Oil&Gas Drilling,2010:Q4
2011-05-04,0.5855,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q1
2011-08-03,0.5008,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q2
2011-11-02,0.1645,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q3
2012-02-27,0.2314,Oil&Gas,Energy,Oil&Gas Drilling,2011:Q4
2012-05-02,0.8483,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q1
2012-08-01,0.8769,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q2
2012-11-04,1.4085,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q3
2013-03-01,0.9167,Oil&Gas,Energy,Oil&Gas Drilling,2012:Q4
2013-05-08,1.0381,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q1
2013-08-07,0.9603,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q2
2013-11-06,1.534,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q3
2014-02-26,0.718,Oil&Gas,Energy,Oil&Gas Drilling,2013:Q4
2014-05-07,1.4014,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q1
2014-08-06,1.6426,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q2
2014-11-09,0.9722,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q3
2015-02-25,0.9721,Oil&Gas,Energy,Oil&Gas Drilling,2014:Q4
2015-05-06,1.0937,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q1
2015-08-05,1.1146,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q2
2015-11-04,0.8654,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q3
2016-02-24,0.6275,Oil&Gas,Energy,Oil&Gas Drilling,2015:Q4
2016-05-04,0.6507,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q1
2016-08-03,0.1762,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q2
2016-11-02,0.2466,Oil&Gas,Energy,Oil&Gas Drilling,2016:Q3
