Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-03,1.1385,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2010:Q3
2010-05-19,1.1281,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2010:Q4
2010-08-04,1.2041,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2011:Q1
2010-11-10,2.0973,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2011:Q2
2011-02-09,1.7253,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2011:Q3
2011-05-25,0.769,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2011:Q4
2011-08-10,1.8993,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2012:Q1
2011-11-09,2.4415,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2012:Q2
2012-02-08,1.8095,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2012:Q3
2012-05-22,1.0643,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2012:Q4
2012-08-08,2.045,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2013:Q1
2012-11-02,2.3109,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2013:Q2
2013-02-06,2.4006,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2013:Q3
2013-05-23,1.4754,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2013:Q4
2013-08-07,1.7724,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2014:Q1
2013-11-06,2.1595,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2014:Q2
2014-02-05,2.6479,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2014:Q3
2014-05-09,1.7086,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2014:Q4
2014-08-06,1.8432,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2015:Q1
2014-10-29,2.2096,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2015:Q2
2015-02-04,2.4173,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2015:Q3
2015-05-13,1.469,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2015:Q4
2015-08-05,1.0614,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2016:Q1
2015-11-05,2.1472,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2016:Q2
2016-02-04,1.9224,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2016:Q3
2016-05-12,0.8238,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2016:Q4
2016-08-10,0.5578,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2017:Q1
2016-11-10,1.1727,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2017:Q2
