Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-18,0.29,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2010:Q4
2010-05-20,0.29,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q1
2010-08-19,0.2675,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q2
2010-11-18,0.255,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q3
2011-03-17,0.345,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q4
2011-05-19,0.37,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q1
2011-08-18,0.32,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q2
2011-11-17,0.315,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q3
2012-03-15,0.425,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q4
2012-05-17,0.465,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q1
2012-08-16,0.405,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q2
2012-11-15,0.36,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q3
2013-03-21,0.535,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q4
2013-05-23,0.535,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q1
2013-08-22,0.49,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q2
2013-11-21,0.4,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q3
2014-02-27,0.51,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q4
2014-05-22,0.575,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q1
2014-08-21,0.57,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q2
2014-11-20,0.465,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q3
2015-02-26,0.6,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q4
2015-05-21,0.685,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q1
2015-08-20,0.63,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q2
2015-11-19,0.53,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q3
2016-03-01,0.66,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q4
2016-05-19,0.73,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q1
2016-08-18,0.71,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q2
2016-11-17,0.62,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q3
