Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,0.3139,Electric,Utilities,Electric-Integrated,2009:Q4
2010-04-28,0.6,Electric,Utilities,Electric-Integrated,2010:Q1
2010-07-28,0.61,Electric,Utilities,Electric-Integrated,2010:Q2
2010-10-27,0.97,Electric,Utilities,Electric-Integrated,2010:Q3
2011-01-26,0.18,Electric,Utilities,Electric-Integrated,2010:Q4
2011-04-27,0.49,Electric,Utilities,Electric-Integrated,2011:Q1
2011-07-27,0.7,Electric,Utilities,Electric-Integrated,2011:Q2
2011-10-26,1.06,Electric,Utilities,Electric-Integrated,2011:Q3
2012-01-25,0.3,Electric,Utilities,Electric-Integrated,2011:Q4
2012-04-25,0.42,Electric,Utilities,Electric-Integrated,2012:Q1
2012-07-25,0.6861,Electric,Utilities,Electric-Integrated,2012:Q2
2012-11-05,1.11,Electric,Utilities,Electric-Integrated,2012:Q3
2013-01-30,0.44,Electric,Utilities,Electric-Integrated,2012:Q4
2013-04-24,0.4889,Electric,Utilities,Electric-Integrated,2013:Q1
2013-07-31,0.6563,Electric,Utilities,Electric-Integrated,2013:Q2
2013-10-30,1.0756,Electric,Utilities,Electric-Integrated,2013:Q3
2014-01-29,0.48,Electric,Utilities,Electric-Integrated,2013:Q4
2014-04-30,0.6532,Electric,Utilities,Electric-Integrated,2014:Q1
2014-07-30,0.68,Electric,Utilities,Electric-Integrated,2014:Q2
2014-10-29,1.086,Electric,Utilities,Electric-Integrated,2014:Q3
2015-02-04,0.3786,Electric,Utilities,Electric-Integrated,2014:Q4
2015-04-29,0.5648,Electric,Utilities,Electric-Integrated,2015:Q1
2015-07-29,0.7097,Electric,Utilities,Electric-Integrated,2015:Q2
2015-10-28,1.1651,Electric,Utilities,Electric-Integrated,2015:Q3
2016-02-03,0.4424,Electric,Utilities,Electric-Integrated,2015:Q4
2016-04-27,0.581,Electric,Utilities,Electric-Integrated,2016:Q1
2016-07-27,0.7462,Electric,Utilities,Electric-Integrated,2016:Q2
2016-10-31,1.2359,Electric,Utilities,Electric-Integrated,2016:Q3
