Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-22,-0.61,Banks,Financial,Super-Regional Banks-US,2009:Q4
2010-04-21,-0.4744,Banks,Financial,Super-Regional Banks-US,2010:Q1
2010-07-22,0.1953,Banks,Financial,Super-Regional Banks-US,2010:Q2
2010-10-21,0.1853,Banks,Financial,Super-Regional Banks-US,2010:Q3
2011-01-21,0.2352,Banks,Financial,Super-Regional Banks-US,2010:Q4
2011-04-21,0.0747,Banks,Financial,Super-Regional Banks-US,2011:Q1
2011-07-22,0.326,Banks,Financial,Super-Regional Banks-US,2011:Q2
2011-10-21,0.3888,Banks,Financial,Super-Regional Banks-US,2011:Q3
2012-01-20,0.28,Banks,Financial,Super-Regional Banks-US,2011:Q4
2012-04-23,0.46,Banks,Financial,Super-Regional Banks-US,2012:Q1
2012-07-20,0.5157,Banks,Financial,Super-Regional Banks-US,2012:Q2
2012-10-22,1.9824,Banks,Financial,Super-Regional Banks-US,2012:Q3
2013-01-18,0.6512,Banks,Financial,Super-Regional Banks-US,2012:Q4
2013-04-19,0.63,Banks,Financial,Super-Regional Banks-US,2013:Q1
2013-07-19,0.68,Banks,Financial,Super-Regional Banks-US,2013:Q2
2013-10-18,0.7196,Banks,Financial,Super-Regional Banks-US,2013:Q3
2014-01-17,0.5283,Banks,Financial,Super-Regional Banks-US,2013:Q4
2014-04-21,0.73,Banks,Financial,Super-Regional Banks-US,2014:Q1
2014-07-21,0.8402,Banks,Financial,Super-Regional Banks-US,2014:Q2
2014-10-17,0.8162,Banks,Financial,Super-Regional Banks-US,2014:Q3
2015-01-16,0.8985,Banks,Financial,Super-Regional Banks-US,2014:Q4
2015-04-20,0.78,Banks,Financial,Super-Regional Banks-US,2015:Q1
2015-07-17,0.8787,Banks,Financial,Super-Regional Banks-US,2015:Q2
2015-10-16,0.9463,Banks,Financial,Super-Regional Banks-US,2015:Q3
2016-01-22,0.8357,Banks,Financial,Super-Regional Banks-US,2015:Q4
2016-04-22,0.84,Banks,Financial,Super-Regional Banks-US,2016:Q1
2016-07-22,0.8823,Banks,Financial,Super-Regional Banks-US,2016:Q2
2016-10-21,0.904,Banks,Financial,Super-Regional Banks-US,2016:Q3
