Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-17,0.3107,Gas,Utilities,Gas-Distribution,2009:Q4
2010-04-27,0.4096,Gas,Utilities,Gas-Distribution,2010:Q1
2010-07-27,-2.4245362661989844e-14,Gas,Utilities,Gas-Distribution,2010:Q2
2010-10-26,0.1496,Gas,Utilities,Gas-Distribution,2010:Q3
2011-02-22,0.3589,Gas,Utilities,Gas-Distribution,2010:Q4
2011-04-26,0.3896,Gas,Utilities,Gas-Distribution,2011:Q1
2011-07-27,0.22,Gas,Utilities,Gas-Distribution,2011:Q2
2011-10-25,0.1993,Gas,Utilities,Gas-Distribution,2011:Q3
2012-02-14,0.3404,Gas,Utilities,Gas-Distribution,2011:Q4
2012-04-24,0.412,Gas,Utilities,Gas-Distribution,2012:Q1
2012-07-25,0.2185,Gas,Utilities,Gas-Distribution,2012:Q2
2012-10-30,0.1808,Gas,Utilities,Gas-Distribution,2012:Q3
2013-02-20,0.36,Gas,Utilities,Gas-Distribution,2012:Q4
2013-04-30,0.41,Gas,Utilities,Gas-Distribution,2013:Q1
2013-07-31,0.2196,Gas,Utilities,Gas-Distribution,2013:Q2
2013-10-30,-0.4086,Gas,Utilities,Gas-Distribution,2013:Q3
2014-02-19,0.3891,Gas,Utilities,Gas-Distribution,2013:Q4
2014-04-29,0.48,Gas,Utilities,Gas-Distribution,2014:Q1
2014-07-30,0.2363,Gas,Utilities,Gas-Distribution,2014:Q2
2014-10-29,0.214,Gas,Utilities,Gas-Distribution,2014:Q3
2015-02-18,0.3485,Gas,Utilities,Gas-Distribution,2014:Q4
2015-04-29,0.48,Gas,Utilities,Gas-Distribution,2015:Q1
2015-08-05,0.2252,Gas,Utilities,Gas-Distribution,2015:Q2
2015-11-04,0.1793,Gas,Utilities,Gas-Distribution,2015:Q3
2016-02-17,0.3928,Gas,Utilities,Gas-Distribution,2015:Q4
2016-04-27,0.4643,Gas,Utilities,Gas-Distribution,2016:Q1
2016-08-03,0.2011,Gas,Utilities,Gas-Distribution,2016:Q2
