Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-07,0.4882,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2010:Q3
2010-04-09,0.2344,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2010:Q4
2010-07-01,0.2307,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2011:Q1
2010-10-06,0.4269,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2011:Q2
2011-01-06,0.5976,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2011:Q3
2011-04-07,0.274,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2011:Q4
2011-06-30,0.3781,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2012:Q1
2011-10-06,0.6869,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2012:Q2
2012-01-05,0.4729,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2012:Q3
2012-04-05,0.6191,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2012:Q4
2012-06-29,0.3468,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2013:Q1
2012-10-05,0.6166,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2013:Q2
2013-01-09,0.5404,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2013:Q3
2013-04-10,0.4263,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2013:Q4
2013-07-02,0.3492,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2014:Q1
2013-10-03,0.7639,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2014:Q2
2014-01-08,0.9782,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2014:Q3
2014-04-09,0.7234,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2014:Q4
2014-07-02,1.0651,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2015:Q1
2014-10-02,1.0151,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2015:Q2
2015-01-08,1.1039,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2015:Q3
2015-04-09,0.9882,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2015:Q4
2015-07-01,1.1334,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2016:Q1
2015-10-07,1.4055,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2016:Q2
2016-01-07,1.3968,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2016:Q3
2016-04-06,1.1325,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2016:Q4
2016-06-30,1.3844,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2017:Q1
2016-10-05,1.7574,Beverages,"Consumer, Non-cyclical",Beverages-Wine/Spirits,2017:Q2
