Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-20,0.1608,Semiconductors,Technology,Electronic Compo-Semicon,2010:Q1
2010-04-29,0.2359,Semiconductors,Technology,Electronic Compo-Semicon,2010:Q2
2010-07-22,0.1771,Semiconductors,Technology,Electronic Compo-Semicon,2010:Q3
2010-11-04,0.2501,Semiconductors,Technology,Electronic Compo-Semicon,2010:Q4
2011-01-20,0.3236,Semiconductors,Technology,Electronic Compo-Semicon,2011:Q1
2011-04-28,0.3566,Semiconductors,Technology,Electronic Compo-Semicon,2011:Q2
2011-07-21,0.3266,Semiconductors,Technology,Electronic Compo-Semicon,2011:Q3
2011-11-03,0.3816,Semiconductors,Technology,Electronic Compo-Semicon,2011:Q4
2012-01-19,0.354,Semiconductors,Technology,Electronic Compo-Semicon,2012:Q1
2012-04-26,0.032,Semiconductors,Technology,Electronic Compo-Semicon,2012:Q2
2012-07-18,0.2754,Semiconductors,Technology,Electronic Compo-Semicon,2012:Q3
2012-11-01,0.3327,Semiconductors,Technology,Electronic Compo-Semicon,2012:Q4
2013-01-30,0.3561,Semiconductors,Technology,Electronic Compo-Semicon,2013:Q1
2013-04-25,0.3467,Semiconductors,Technology,Electronic Compo-Semicon,2013:Q2
2013-07-18,0.3573,Semiconductors,Technology,Electronic Compo-Semicon,2013:Q3
2013-10-30,0.4431,Semiconductors,Technology,Electronic Compo-Semicon,2013:Q4
2014-01-16,0.4934,Semiconductors,Technology,Electronic Compo-Semicon,2014:Q1
2014-04-22,0.4055,Semiconductors,Technology,Electronic Compo-Semicon,2014:Q2
2014-07-17,0.5975,Semiconductors,Technology,Electronic Compo-Semicon,2014:Q3
2014-11-06,0.9371,Semiconductors,Technology,Electronic Compo-Semicon,2014:Q4
2015-01-22,1.0453,Semiconductors,Technology,Electronic Compo-Semicon,2015:Q1
2015-04-08,0.8795,Semiconductors,Technology,Electronic Compo-Semicon,2015:Q2
2015-07-23,1.0775,Semiconductors,Technology,Electronic Compo-Semicon,2015:Q3
2015-11-05,1.2135,Semiconductors,Technology,Electronic Compo-Semicon,2015:Q4
2016-01-28,1.4544,Semiconductors,Technology,Electronic Compo-Semicon,2016:Q1
2016-04-28,1.0902,Semiconductors,Technology,Electronic Compo-Semicon,2016:Q2
2016-07-21,1.0324,Semiconductors,Technology,Electronic Compo-Semicon,2016:Q3
2016-11-03,1.3088,Semiconductors,Technology,Electronic Compo-Semicon,2016:Q4
