Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-25,0.4542,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2009:Q4
2010-04-29,0.4817,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q1
2010-08-05,0.3462,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q2
2010-10-28,0.4573,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q3
2011-02-24,0.4272,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q4
2011-04-28,0.3843,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q1
2011-07-28,0.4803,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q2
2011-10-27,0.5052,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q3
2012-02-27,0.4407,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q4
2012-05-03,0.3058,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q1
2012-08-02,0.2622,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q2
2012-11-01,0.3745,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q3
2013-02-20,0.4452,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q4
2013-05-02,0.4127,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q1
2013-08-01,0.5405,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q2
2013-10-31,0.5127,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q3
2014-02-27,0.498,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q4
2014-05-01,0.6551,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q1
2014-07-31,0.6039,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q2
2014-10-23,0.5063,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q3
2015-02-26,0.5195,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q4
2015-04-23,0.2212,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q1
2015-07-27,-0.0236,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q2
2015-10-22,0.0079,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q3
2016-02-25,-0.068,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q4
2016-04-21,-0.0917,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q1
2016-07-21,-0.0919,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q2
2016-10-20,0.021,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q3
