Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-11,0.48,Computers,Technology,Computer Services,2009:Q4
2010-05-06,0.39,Computers,Technology,Computer Services,2010:Q1
2010-08-05,0.44,Computers,Technology,Computer Services,2010:Q2
2010-11-04,0.44,Computers,Technology,Computer Services,2010:Q3
2011-02-10,0.5,Computers,Technology,Computer Services,2010:Q4
2011-05-05,0.4324,Computers,Technology,Computer Services,2011:Q1
2011-08-04,0.542,Computers,Technology,Computer Services,2011:Q2
2011-11-03,0.5333,Computers,Technology,Computer Services,2011:Q3
2012-02-09,0.605,Computers,Technology,Computer Services,2011:Q4
2012-05-03,0.5358,Computers,Technology,Computer Services,2012:Q1
2012-08-02,0.6964,Computers,Technology,Computer Services,2012:Q2
2012-11-01,0.6116,Computers,Technology,Computer Services,2012:Q3
2013-02-07,0.6776,Computers,Technology,Computer Services,2012:Q4
2013-05-02,0.3381,Computers,Technology,Computer Services,2013:Q1
2013-08-01,0.662,Computers,Technology,Computer Services,2013:Q2
2013-10-31,0.602,Computers,Technology,Computer Services,2013:Q3
2014-02-06,0.7956,Computers,Technology,Computer Services,2013:Q4
2014-05-08,0.4446,Computers,Technology,Computer Services,2014:Q1
2014-08-07,0.6125,Computers,Technology,Computer Services,2014:Q2
2014-11-06,0.6127,Computers,Technology,Computer Services,2014:Q3
2015-02-05,0.796,Computers,Technology,Computer Services,2014:Q4
2015-05-07,0.1635,Computers,Technology,Computer Services,2015:Q1
2015-08-06,0.4274,Computers,Technology,Computer Services,2015:Q2
2015-11-05,0.4864,Computers,Technology,Computer Services,2015:Q3
2016-02-04,0.6662,Computers,Technology,Computer Services,2015:Q4
2016-05-05,0.3127,Computers,Technology,Computer Services,2016:Q1
2016-08-02,0.6439,Computers,Technology,Computer Services,2016:Q2
2016-10-27,0.5904,Computers,Technology,Computer Services,2016:Q3
