Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-23,1.24,Retail,"Consumer, Cyclical",Retail-Discount,2010:Q4
2010-05-19,0.9,Retail,"Consumer, Cyclical",Retail-Discount,2011:Q1
2010-08-18,0.92,Retail,"Consumer, Cyclical",Retail-Discount,2011:Q2
2010-11-17,0.68,Retail,"Consumer, Cyclical",Retail-Discount,2011:Q3
2011-02-24,1.38,Retail,"Consumer, Cyclical",Retail-Discount,2011:Q4
2011-05-18,0.99,Retail,"Consumer, Cyclical",Retail-Discount,2012:Q1
2011-08-17,1.03,Retail,"Consumer, Cyclical",Retail-Discount,2012:Q2
2011-11-16,0.82,Retail,"Consumer, Cyclical",Retail-Discount,2012:Q3
2012-02-23,1.5338,Retail,"Consumer, Cyclical",Retail-Discount,2012:Q4
2012-05-16,1.03,Retail,"Consumer, Cyclical",Retail-Discount,2013:Q1
2012-08-15,1.03,Retail,"Consumer, Cyclical",Retail-Discount,2013:Q2
2012-11-15,0.77,Retail,"Consumer, Cyclical",Retail-Discount,2013:Q3
2013-02-27,1.455,Retail,"Consumer, Cyclical",Retail-Discount,2013:Q4
2013-05-22,0.82,Retail,"Consumer, Cyclical",Retail-Discount,2014:Q1
2013-08-21,0.95,Retail,"Consumer, Cyclical",Retail-Discount,2014:Q2
2013-11-21,0.54,Retail,"Consumer, Cyclical",Retail-Discount,2014:Q3
2014-02-26,1.2931,Retail,"Consumer, Cyclical",Retail-Discount,2014:Q4
2014-05-21,0.9116,Retail,"Consumer, Cyclical",Retail-Discount,2015:Q1
2014-08-20,1.0087,Retail,"Consumer, Cyclical",Retail-Discount,2015:Q2
2014-11-19,0.784,Retail,"Consumer, Cyclical",Retail-Discount,2015:Q3
2015-02-25,1.4711,Retail,"Consumer, Cyclical",Retail-Discount,2015:Q4
2015-05-20,1.1075,Retail,"Consumer, Cyclical",Retail-Discount,2016:Q1
2015-08-19,1.2225,Retail,"Consumer, Cyclical",Retail-Discount,2016:Q2
2015-11-18,0.8586,Retail,"Consumer, Cyclical",Retail-Discount,2016:Q3
2016-02-24,1.5234,Retail,"Consumer, Cyclical",Retail-Discount,2016:Q4
2016-05-18,1.2916,Retail,"Consumer, Cyclical",Retail-Discount,2017:Q1
2016-08-17,1.2302,Retail,"Consumer, Cyclical",Retail-Discount,2017:Q2
2016-11-16,1.0461,Retail,"Consumer, Cyclical",Retail-Discount,2017:Q3
