Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-22,1.09,Retail,"Consumer, Cyclical",Retail-Jewelry,2010:Q4
2010-05-27,0.5046,Retail,"Consumer, Cyclical",Retail-Jewelry,2011:Q1
2010-08-27,0.5533,Retail,"Consumer, Cyclical",Retail-Jewelry,2011:Q2
2010-11-24,0.4604,Retail,"Consumer, Cyclical",Retail-Jewelry,2011:Q3
2011-03-21,1.4402,Retail,"Consumer, Cyclical",Retail-Jewelry,2011:Q4
2011-05-26,0.6687,Retail,"Consumer, Cyclical",Retail-Jewelry,2012:Q1
2011-08-26,0.8517,Retail,"Consumer, Cyclical",Retail-Jewelry,2012:Q2
2011-11-29,0.7,Retail,"Consumer, Cyclical",Retail-Jewelry,2012:Q3
2012-03-20,1.39,Retail,"Consumer, Cyclical",Retail-Jewelry,2012:Q4
2012-05-24,0.64,Retail,"Consumer, Cyclical",Retail-Jewelry,2013:Q1
2012-08-27,0.72,Retail,"Consumer, Cyclical",Retail-Jewelry,2013:Q2
2012-11-29,0.49,Retail,"Consumer, Cyclical",Retail-Jewelry,2013:Q3
2013-03-22,1.4,Retail,"Consumer, Cyclical",Retail-Jewelry,2013:Q4
2013-05-28,0.695,Retail,"Consumer, Cyclical",Retail-Jewelry,2014:Q1
2013-08-27,0.83,Retail,"Consumer, Cyclical",Retail-Jewelry,2014:Q2
2013-11-26,0.73,Retail,"Consumer, Cyclical",Retail-Jewelry,2014:Q3
2014-03-21,1.6249,Retail,"Consumer, Cyclical",Retail-Jewelry,2014:Q4
2014-05-21,0.97,Retail,"Consumer, Cyclical",Retail-Jewelry,2015:Q1
2014-08-27,0.96,Retail,"Consumer, Cyclical",Retail-Jewelry,2015:Q2
2014-11-25,0.759,Retail,"Consumer, Cyclical",Retail-Jewelry,2015:Q3
2015-03-20,1.51,Retail,"Consumer, Cyclical",Retail-Jewelry,2015:Q4
2015-05-27,0.81,Retail,"Consumer, Cyclical",Retail-Jewelry,2016:Q1
2015-08-27,0.8586,Retail,"Consumer, Cyclical",Retail-Jewelry,2016:Q2
2015-11-24,0.7,Retail,"Consumer, Cyclical",Retail-Jewelry,2016:Q3
2016-03-18,1.4645,Retail,"Consumer, Cyclical",Retail-Jewelry,2016:Q4
2016-05-25,0.64,Retail,"Consumer, Cyclical",Retail-Jewelry,2017:Q1
2016-08-25,0.84,Retail,"Consumer, Cyclical",Retail-Jewelry,2017:Q2
2016-11-29,0.76,Retail,"Consumer, Cyclical",Retail-Jewelry,2017:Q3
