Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,0.255,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2009:Q4
2010-04-21,0.035,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2010:Q1
2010-07-21,0.5177,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2010:Q2
2010-10-20,0.2,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2010:Q3
2011-01-26,0.335,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2010:Q4
2011-04-20,0.12,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2011:Q1
2011-07-20,0.615,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2011:Q2
2011-10-19,0.29,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2011:Q3
2012-02-01,0.48,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2011:Q4
2012-04-25,0.275,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2012:Q1
2012-07-25,0.725,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2012:Q2
2012-10-24,0.345,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2012:Q3
2013-01-30,0.555,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2012:Q4
2013-04-24,0.31,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2013:Q1
2013-07-24,0.875,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2013:Q2
2013-10-23,0.46,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2013:Q3
2014-01-29,0.68,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2013:Q4
2014-04-23,0.35,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2014:Q1
2014-07-23,0.95,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2014:Q2
2014-10-22,0.55,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2014:Q3
2015-01-28,0.81,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2014:Q4
2015-04-22,0.42,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2015:Q1
2015-07-22,1.12,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2015:Q2
2015-10-21,0.64,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2015:Q3
2016-01-27,0.82,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2015:Q4
2016-04-20,0.5004,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2016:Q1
2016-07-20,1.1607,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2016:Q2
2016-10-19,0.67,Retail,"Consumer, Cyclical",Retail-Gardening Prod,2016:Q3
