Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-03,0.6241,Media,Communications,Multimedia,2009:Q4
2010-05-05,0.6164,Media,Communications,Multimedia,2010:Q1
2010-08-04,0.509,Media,Communications,Multimedia,2010:Q2
2010-11-03,0.6463,Media,Communications,Multimedia,2010:Q3
2011-02-02,0.6973,Media,Communications,Multimedia,2010:Q4
2011-05-04,0.6022,Media,Communications,Multimedia,2011:Q1
2011-08-03,0.6118,Media,Communications,Multimedia,2011:Q2
2011-11-02,0.8118,Media,Communications,Multimedia,2011:Q3
2012-02-08,0.9498,Media,Communications,Multimedia,2011:Q4
2012-05-02,0.6858,Media,Communications,Multimedia,2012:Q1
2012-08-01,0.5852,Media,Communications,Multimedia,2012:Q2
2012-11-07,0.8627,Media,Communications,Multimedia,2012:Q3
2013-02-06,1.1849,Media,Communications,Multimedia,2012:Q4
2013-05-01,0.8138,Media,Communications,Multimedia,2013:Q1
2013-08-07,0.782,Media,Communications,Multimedia,2013:Q2
2013-11-06,0.9556,Media,Communications,Multimedia,2013:Q3
2014-02-05,1.0803,Media,Communications,Multimedia,2013:Q4
2014-04-30,1.2223,Media,Communications,Multimedia,2014:Q1
2014-08-06,0.9793,Media,Communications,Multimedia,2014:Q2
2014-11-05,1.7703,Media,Communications,Multimedia,2014:Q3
2015-02-11,1.1081,Media,Communications,Multimedia,2014:Q4
2015-04-29,1.1791,Media,Communications,Multimedia,2015:Q1
2015-08-05,1.23,Media,Communications,Multimedia,2015:Q2
2015-11-04,1.2813,Media,Communications,Multimedia,2015:Q3
2016-02-10,1.0654,Media,Communications,Multimedia,2015:Q4
2016-05-04,1.4957,Media,Communications,Multimedia,2016:Q1
2016-08-03,1.2159,Media,Communications,Multimedia,2016:Q2
2016-11-02,1.8431,Media,Communications,Multimedia,2016:Q3
