Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.0538,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2009:Q4
2010-04-22,0.0139,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q1
2010-07-21,0.2915,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q2
2010-10-20,0.0871,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q3
2011-01-26,0.3537,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q4
2011-04-20,0.1,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q1
2011-07-20,0.29,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q2
2011-10-19,0.45,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q3
2012-01-25,0.5194,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q4
2012-04-18,0.41,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q1
2012-07-19,0.58,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q2
2012-10-17,0.48,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q3
2013-01-23,0.56,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q4
2013-04-17,0.4,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q1
2013-07-17,0.4641,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q2
2013-10-18,0.35,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q3
2014-01-22,0.6,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q4
2014-05-01,0.3465,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q1
2014-07-16,0.56,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q2
2014-10-17,0.58,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q3
2015-01-28,0.78,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q4
2015-04-28,0.46,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q1
2015-07-28,0.6,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q2
2015-10-27,0.63,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q3
2016-01-27,0.8131,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q4
2016-04-20,0.55,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q1
2016-07-22,0.66,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q2
2016-10-20,0.6112,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q3
