Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.0375,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2009:Q4
2010-04-27,0.0175,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2010:Q1
2010-07-27,0.0088,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2010:Q2
2010-10-26,0.085,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2010:Q3
2011-01-27,0.05,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2010:Q4
2011-04-26,0.0288,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2011:Q1
2011-07-26,0.015,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2011:Q2
2011-10-25,0.1129,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2011:Q3
2012-01-26,0.0775,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2011:Q4
2012-04-20,0.035,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2012:Q1
2012-07-24,0.015,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2012:Q2
2012-10-25,0.135,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2012:Q3
2013-01-31,0.1175,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2012:Q4
2013-04-19,0.0175,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2013:Q1
2013-07-25,0.04,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2013:Q2
2013-10-24,0.17,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2013:Q3
2014-01-30,0.1475,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2013:Q4
2014-04-24,0.03,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2014:Q1
2014-07-24,0.04,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2014:Q2
2014-10-23,0.205,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2014:Q3
2015-02-04,0.2,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2014:Q4
2015-04-21,0.0347,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2015:Q1
2015-07-23,0.0343,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2015:Q2
2015-10-22,0.2253,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2015:Q3
2016-01-28,0.1194,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2015:Q4
2016-04-21,0.0406,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2016:Q1
2016-07-26,-0.087,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2016:Q2
2016-10-25,0.2877,Apparel,"Consumer, Cyclical",Apparel Manufacturers,2016:Q3
