Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-11,0.3416,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2010:Q4
2010-06-03,0.2321,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2011:Q1
2010-09-02,0.2196,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2011:Q2
2010-12-02,0.2258,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2011:Q3
2011-03-10,0.4913,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2011:Q4
2011-06-07,0.3749,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2012:Q1
2011-09-08,0.3792,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2012:Q2
2011-12-01,0.42,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2012:Q3
2012-03-08,0.7373,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2012:Q4
2012-06-05,0.5426,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2013:Q1
2012-09-06,0.5419,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2013:Q2
2012-11-29,0.5898,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2013:Q3
2013-03-14,1.0065,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2013:Q4
2013-06-11,0.65,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2014:Q1
2013-09-12,0.7,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2014:Q2
2013-12-05,0.7335,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2014:Q3
2014-03-13,1.09,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2014:Q4
2014-06-10,0.77,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2015:Q1
2014-09-11,0.94,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2015:Q2
2014-12-04,0.91,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2015:Q3
2015-03-12,1.33,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2015:Q4
2015-05-28,1.0513,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2016:Q1
2015-08-27,1.1551,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2016:Q2
2015-12-03,1.1203,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2016:Q3
2016-03-10,1.7006,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2016:Q4
2016-05-26,1.4583,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2017:Q1
2016-08-25,1.46,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2017:Q2
2016-12-01,1.4322,Retail,"Consumer, Cyclical",Retail-Perfume&Cosmetics,2017:Q3
