Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-21,0.5246,Transportation,Industrial,Transport-Rail,2009:Q4
2010-04-22,0.5127,Transportation,Industrial,Transport-Rail,2010:Q1
2010-07-22,0.7013,Transportation,Industrial,Transport-Rail,2010:Q2
2010-10-21,0.7774,Transportation,Industrial,Transport-Rail,2010:Q3
2011-01-20,0.7715,Transportation,Industrial,Transport-Rail,2010:Q4
2011-04-20,0.6443,Transportation,Industrial,Transport-Rail,2011:Q1
2011-07-21,0.7924,Transportation,Industrial,Transport-Rail,2011:Q2
2011-10-20,0.921,Transportation,Industrial,Transport-Rail,2011:Q3
2012-01-19,0.9769,Transportation,Industrial,Transport-Rail,2011:Q4
2012-04-19,0.8943,Transportation,Industrial,Transport-Rail,2012:Q1
2012-07-19,1.0439,Transportation,Industrial,Transport-Rail,2012:Q2
2012-10-18,1.0875,Transportation,Industrial,Transport-Rail,2012:Q3
2013-01-24,1.0936,Transportation,Industrial,Transport-Rail,2012:Q4
2013-04-18,1.0122,Transportation,Industrial,Transport-Rail,2013:Q1
2013-07-18,1.18,Transportation,Industrial,Transport-Rail,2013:Q2
2013-10-17,1.2274,Transportation,Industrial,Transport-Rail,2013:Q3
2014-01-23,1.2629,Transportation,Industrial,Transport-Rail,2013:Q4
2014-04-17,1.1872,Transportation,Industrial,Transport-Rail,2014:Q1
2014-07-24,1.425,Transportation,Industrial,Transport-Rail,2014:Q2
2014-10-23,1.5264,Transportation,Industrial,Transport-Rail,2014:Q3
2015-01-22,1.5713,Transportation,Industrial,Transport-Rail,2014:Q4
2015-04-23,1.2948,Transportation,Industrial,Transport-Rail,2015:Q1
2015-07-23,1.2901,Transportation,Industrial,Transport-Rail,2015:Q2
2015-10-22,1.4925,Transportation,Industrial,Transport-Rail,2015:Q3
2016-01-21,1.3054,Transportation,Industrial,Transport-Rail,2015:Q4
2016-04-21,1.1407,Transportation,Industrial,Transport-Rail,2016:Q1
2016-07-21,1.1202,Transportation,Industrial,Transport-Rail,2016:Q2
2016-10-20,1.3577,Transportation,Industrial,Transport-Rail,2016:Q3
